longitude_deg,latitude_deg,radius_m,Br
-5.000000,-5.000000,1737400.000,-4.887504400e-02
-5.000000,-4.900000,1737400.000,-4.956176800e-02
-5.000000,-4.800000,1737400.000,-5.026208400e-02
-5.000000,-4.700000,1737400.000,-5.097521500e-02
-5.000000,-4.600000,1737400.000,-5.170044000e-02
-5.000000,-4.500000,1737400.000,-5.243876700e-02
-5.000000,-4.400000,1737400.000,-5.318961300e-02
-5.000000,-4.300000,1737400.000,-5.395310200e-02
-5.000000,-4.200000,1737400.000,-5.472874700e-02
-5.000000,-4.100000,1737400.000,-5.551648600e-02
-5.000000,-4.000000,1737400.000,-5.631583400e-02
-5.000000,-3.900000,1737400.000,-5.712658600e-02
-5.000000,-3.800000,1737400.000,-5.794742100e-02
-5.000000,-3.700000,1737400.000,-5.877910900e-02
-5.000000,-3.600000,1737400.000,-5.961990700e-02
-5.000000,-3.500000,1737400.000,-6.046954900e-02
-5.000000,-3.400000,1737400.000,-6.132806000e-02
-5.000000,-3.300000,1737400.000,-6.219250900e-02
-5.000000,-3.200000,1737400.000,-6.306432800e-02
-5.000000,-3.100000,1737400.000,-6.394073800e-02
-5.000000,-3.000000,1737400.000,-6.482013600e-02
-5.000000,-2.900000,1737400.000,-6.570302100e-02
-5.000000,-2.800000,1737400.000,-6.658674900e-02
-5.000000,-2.700000,1737400.000,-6.746922900e-02
-5.000000,-2.600000,1737400.000,-6.835050200e-02
-5.000000,-2.500000,1737400.000,-6.922665700e-02
-5.000000,-2.400000,1737400.000,-7.009697500e-02
-5.000000,-2.300000,1737400.000,-7.095931300e-02
-5.000000,-2.200000,1737400.000,-7.181138700e-02
-5.000000,-2.100000,1737400.000,-7.265012900e-02
-5.000000,-2.000000,1737400.000,-7.347477100e-02
-5.000000,-1.900000,1737400.000,-7.428144300e-02
-5.000000,-1.800000,1737400.000,-7.506821800e-02
-5.000000,-1.700000,1737400.000,-7.583356000e-02
-5.000000,-1.600000,1737400.000,-7.657196500e-02
-5.000000,-1.500000,1737400.000,-7.728358500e-02
-5.000000,-1.400000,1737400.000,-7.796412200e-02
-5.000000,-1.300000,1737400.000,-7.861261000e-02
-5.000000,-1.200000,1737400.000,-7.922370500e-02
-5.000000,-1.100000,1737400.000,-7.979753800e-02
-5.000000,-1.000000,1737400.000,-8.033211800e-02
-5.000000,-0.900000,1737400.000,-8.082160900e-02
-5.000000,-0.800000,1737400.000,-8.126721300e-02
-5.000000,-0.700000,1737400.000,-8.166592100e-02
-5.000000,-0.600000,1737400.000,-8.201453300e-02
-5.000000,-0.500000,1737400.000,-8.231265700e-02
-5.000000,-0.400000,1737400.000,-8.255769900e-02
-5.000000,-0.300000,1737400.000,-8.274961000e-02
-5.000000,-0.200000,1737400.000,-8.288843700e-02
-5.000000,-0.100000,1737400.000,-8.297143400e-02
-5.000000,0.000000,1737400.000,-8.300020100e-02
-5.000000,0.100000,1737400.000,-8.297138700e-02
-5.000000,0.200000,1737400.000,-8.288828900e-02
-5.000000,0.300000,1737400.000,-8.274960300e-02
-5.000000,0.400000,1737400.000,-8.255758800e-02
-5.000000,0.500000,1737400.000,-8.231262200e-02
-5.000000,0.600000,1737400.000,-8.201464900e-02
-5.000000,0.700000,1737400.000,-8.166591400e-02
-5.000000,0.800000,1737400.000,-8.126733900e-02
-5.000000,0.900000,1737400.000,-8.082174100e-02
-5.000000,1.000000,1737400.000,-8.033206200e-02
-5.000000,1.100000,1737400.000,-7.979744900e-02
-5.000000,1.200000,1737400.000,-7.922349100e-02
-5.000000,1.300000,1737400.000,-7.861257100e-02
-5.000000,1.400000,1737400.000,-7.796417100e-02
-5.000000,1.500000,1737400.000,-7.728360000e-02
-5.000000,1.600000,1737400.000,-7.657178000e-02
-5.000000,1.700000,1737400.000,-7.583340900e-02
-5.000000,1.800000,1737400.000,-7.506815100e-02
-5.000000,1.900000,1737400.000,-7.428130200e-02
-5.000000,2.000000,1737400.000,-7.347479900e-02
-5.000000,2.100000,1737400.000,-7.265006800e-02
-5.000000,2.200000,1737400.000,-7.181137900e-02
-5.000000,2.300000,1737400.000,-7.095921200e-02
-5.000000,2.400000,1737400.000,-7.009702100e-02
-5.000000,2.500000,1737400.000,-6.922678100e-02
-5.000000,2.600000,1737400.000,-6.835051200e-02
-5.000000,2.700000,1737400.000,-6.746929900e-02
-5.000000,2.800000,1737400.000,-6.658678900e-02
-5.000000,2.900000,1737400.000,-6.570303500e-02
-5.000000,3.000000,1737400.000,-6.482018400e-02
-5.000000,3.100000,1737400.000,-6.394067900e-02
-5.000000,3.200000,1737400.000,-6.306439100e-02
-5.000000,3.300000,1737400.000,-6.219245600e-02
-5.000000,3.400000,1737400.000,-6.132815800e-02
-5.000000,3.500000,1737400.000,-6.046965300e-02
-5.000000,3.600000,1737400.000,-5.962001600e-02
