longitude_deg,latitude_deg,radius_m,Br,Btheta,Bphi,Btot
-5.000000,-5.000000,1737400.000,-4.887504400e-02,-4.558810800e-01,4.576214800e-01,6.477914386e-01
-5.000000,-4.900000,1737400.000,-4.956176800e-02,-4.604500700e-01,4.716249700e-01,6.609846807e-01
-5.000000,-4.800000,1737400.000,-5.026208400e-02,-4.648649200e-01,4.860550500e-01,6.744443510e-01
-5.000000,-4.700000,1737400.000,-5.097521500e-02,-4.691075500e-01,5.009142100e-01,6.881681566e-01
-5.000000,-4.600000,1737400.000,-5.170044000e-02,-4.731565700e-01,5.162099200e-01,7.021557924e-01
-5.000000,-4.500000,1737400.000,-5.243876700e-02,-4.769893100e-01,5.319464400e-01,7.164046630e-01
-5.000000,-4.400000,1737400.000,-5.318961300e-02,-4.805814700e-01,5.481262500e-01,7.309104392e-01
-5.000000,-4.300000,1737400.000,-5.395310200e-02,-4.839097600e-01,5.647523000e-01,7.456706736e-01
-5.000000,-4.200000,1737400.000,-5.472874700e-02,-4.869473700e-01,5.818236900e-01,7.606785018e-01
-5.000000,-4.100000,1737400.000,-5.551648600e-02,-4.896652900e-01,5.993409500e-01,7.759276711e-01
-5.000000,-4.000000,1737400.000,-5.631583400e-02,-4.920359400e-01,6.173008300e-01,7.914108630e-01
-5.000000,-3.900000,1737400.000,-5.712658600e-02,-4.940296500e-01,6.356976000e-01,8.071184427e-01
-5.000000,-3.800000,1737400.000,-5.794742100e-02,-4.956132500e-01,6.545247400e-01,8.230389009e-01
-5.000000,-3.700000,1737400.000,-5.877910900e-02,-4.967538700e-01,6.737738300e-01,8.391606312e-01
-5.000000,-3.600000,1737400.000,-5.961990700e-02,-4.974198300e-01,6.934326600e-01,8.554705574e-01
-5.000000,-3.500000,1737400.000,-6.046954900e-02,-4.975741000e-01,7.134858400e-01,8.719510280e-01
-5.000000,-3.400000,1737400.000,-6.132806000e-02,-4.971835900e-01,7.339171600e-01,8.885871093e-01
-5.000000,-3.300000,1737400.000,-6.219250900e-02,-4.962107400e-01,7.547051400e-01,9.053578602e-01
-5.000000,-3.200000,1737400.000,-6.306432800e-02,-4.946179300e-01,7.758258200e-01,9.222416761e-01
-5.000000,-3.100000,1737400.000,-6.394073800e-02,-4.923707900e-01,7.972516300e-01,9.392164683e-01
-5.000000,-3.000000,1737400.000,-6.482013600e-02,-4.894305000e-01,8.189498400e-01,9.562545188e-01
-5.000000,-2.900000,1737400.000,-6.570302100e-02,-4.857613800e-01,8.408885800e-01,9.733317057e-01
-5.000000,-2.800000,1737400.000,-6.658674900e-02,-4.813262700e-01,8.630247500e-01,9.904143034e-01
-5.000000,-2.700000,1737400.000,-6.746922900e-02,-4.760915800e-01,8.853163700e-01,1.007472265e+00
-5.000000,-2.600000,1737400.000,-6.835050200e-02,-4.700230100e-01,9.077179900e-01,1.024473216e+00
-5.000000,-2.500000,1737400.000,-6.922665700e-02,-4.630887400e-01,9.301723800e-01,1.041376093e+00
-5.000000,-2.400000,1737400.000,-7.009697500e-02,-4.552590300e-01,9.526285700e-01,1.058147231e+00
-5.000000,-2.300000,1737400.000,-7.095931300e-02,-4.465062000e-01,9.750247900e-01,1.074744785e+00
-5.000000,-2.200000,1737400.000,-7.181138700e-02,-4.368073400e-01,9.972952000e-01,1.091125677e+00
-5.000000,-2.100000,1737400.000,-7.265012900e-02,-4.261413700e-01,1.019373100e+00,1.107247048e+00
-5.000000,-2.000000,1737400.000,-7.347477100e-02,-4.144917700e-01,1.041184200e+00,1.123061222e+00
-5.000000,-1.900000,1737400.000,-7.428144300e-02,-4.018468800e-01,1.062658400e+00,1.138526031e+00
-5.000000,-1.800000,1737400.000,-7.506821800e-02,-3.881989900e-01,1.083713400e+00,1.153589367e+00
-5.000000,-1.700000,1737400.000,-7.583356000e-02,-3.735480800e-01,1.104271500e+00,1.168205651e+00
-5.000000,-1.600000,1737400.000,-7.657196500e-02,-3.578965400e-01,1.124248900e+00,1.182323470e+00
-5.000000,-1.500000,1737400.000,-7.728358500e-02,-3.412557700e-01,1.143561900e+00,1.195893838e+00
-5.000000,-1.400000,1737400.000,-7.796412200e-02,-3.236419600e-01,1.162130000e+00,1.208870820e+00
-5.000000,-1.300000,1737400.000,-7.861261000e-02,-3.050794600e-01,1.179864600e+00,1.221201823e+00
-5.000000,-1.200000,1737400.000,-7.922370500e-02,-2.855981100e-01,1.196687300e+00,1.232843530e+00
-5.000000,-1.100000,1737400.000,-7.979753800e-02,-2.652344600e-01,1.212511600e+00,1.243744888e+00
-5.000000,-1.000000,1737400.000,-8.033211800e-02,-2.440329300e-01,1.227263200e+00,1.253866134e+00
-5.000000,-0.900000,1737400.000,-8.082160900e-02,-2.220446200e-01,1.240862900e+00,1.263161384e+00
-5.000000,-0.800000,1737400.000,-8.126721300e-02,-1.993256900e-01,1.253242000e+00,1.271593725e+00
-5.000000,-0.700000,1737400.000,-8.166592100e-02,-1.759405900e-01,1.264333700e+00,1.279126311e+00
-5.000000,-0.600000,1737400.000,-8.201453300e-02,-1.519584800e-01,1.274076200e+00,1.285724670e+00
-5.000000,-0.500000,1737400.000,-8.231265700e-02,-1.274537800e-01,1.282416900e+00,1.291360889e+00
-5.000000,-0.400000,1737400.000,-8.255769900e-02,-1.025060000e-01,1.289306400e+00,1.296007040e+00
-5.000000,-0.300000,1737400.000,-8.274961000e-02,-7.719870600e-02,1.294708400e+00,1.299644944e+00
-5.000000,-0.200000,1737400.000,-8.288843700e-02,-5.161868300e-02,1.298588300e+00,1.302254412e+00
-5.000000,-0.100000,1737400.000,-8.297143400e-02,-2.585534500e-02,1.300926700e+00,1.303826306e+00
-5.000000,0.000000,1737400.000,-8.300020100e-02,3.368971600e-08,1.301707000e+00,1.304350469e+00
-5.000000,0.100000,1737400.000,-8.297138700e-02,2.585532800e-02,1.300926400e+00,1.303826003e+00
-5.000000,0.200000,1737400.000,-8.288828900e-02,5.161872100e-02,1.298586600e+00,1.302252709e+00
-5.000000,0.300000,1737400.000,-8.274960300e-02,7.719863200e-02,1.294708000e+00,1.299644540e+00
-5.000000,0.400000,1737400.000,-8.255758800e-02,1.025060000e-01,1.289305000e+00,1.296005640e+00
-5.000000,0.500000,1737400.000,-8.231262200e-02,1.274538800e-01,1.282416600e+00,1.291360598e+00
-5.000000,0.600000,1737400.000,-8.201464900e-02,1.519585000e-01,1.274077100e+00,1.285725571e+00
-5.000000,0.700000,1737400.000,-8.166591400e-02,1.759408700e-01,1.264333700e+00,1.279126349e+00
-5.000000,0.800000,1737400.000,-8.126733900e-02,1.993258200e-01,1.253243300e+00,1.271595035e+00
-5.000000,0.900000,1737400.000,-8.082174100e-02,2.220443100e-01,1.240864100e+00,1.263162517e+00
-5.000000,1.000000,1737400.000,-8.033206200e-02,2.440330500e-01,1.227262900e+00,1.253865860e+00
-5.000000,1.100000,1737400.000,-7.979744900e-02,2.652342800e-01,1.212511000e+00,1.243744259e+00
-5.000000,1.200000,1737400.000,-7.922349100e-02,2.855978100e-01,1.196685300e+00,1.232841506e+00
-5.000000,1.300000,1737400.000,-7.861257100e-02,3.050794900e-01,1.179864300e+00,1.221201539e+00
-5.000000,1.400000,1737400.000,-7.796417100e-02,3.236418400e-01,1.162130300e+00,1.208871079e+00
-5.000000,1.500000,1737400.000,-7.728360000e-02,3.412555000e-01,1.143562200e+00,1.195894049e+00
-5.000000,1.600000,1737400.000,-7.657178000e-02,3.578961600e-01,1.124246900e+00,1.182321441e+00
-5.000000,1.700000,1737400.000,-7.583340900e-02,3.735475700e-01,1.104270200e+00,1.168204249e+00
-5.000000,1.800000,1737400.000,-7.506815100e-02,3.881990900e-01,1.083712900e+00,1.153588926e+00
-5.000000,1.900000,1737400.000,-7.428130200e-02,4.018460200e-01,1.062657200e+00,1.138524598e+00
-5.000000,2.000000,1737400.000,-7.347479900e-02,4.144914100e-01,1.041184500e+00,1.123061369e+00
-5.000000,2.100000,1737400.000,-7.265006800e-02,4.261421800e-01,1.019371900e+00,1.107246251e+00
-5.000000,2.200000,1737400.000,-7.181137900e-02,4.368076100e-01,9.972946100e-01,1.091125246e+00
-5.000000,2.300000,1737400.000,-7.095921200e-02,4.465068400e-01,9.750236000e-01,1.074743964e+00
-5.000000,2.400000,1737400.000,-7.009702100e-02,4.552593300e-01,9.526289900e-01,1.058147741e+00
-5.000000,2.500000,1737400.000,-6.922678100e-02,4.630890900e-01,9.301736300e-01,1.041377374e+00
-5.000000,2.600000,1737400.000,-6.835051200e-02,4.700231000e-01,9.077179300e-01,1.024473205e+00
-5.000000,2.700000,1737400.000,-6.746929900e-02,4.760914200e-01,8.853173300e-01,1.007473038e+00
-5.000000,2.800000,1737400.000,-6.658678900e-02,4.813268300e-01,8.630250500e-01,9.904148397e-01
-5.000000,2.900000,1737400.000,-6.570303500e-02,4.857613500e-01,8.408885800e-01,9.733316916e-01
-5.000000,3.000000,1737400.000,-6.482018400e-02,4.894304100e-01,8.189504900e-01,9.562550327e-01
-5.000000,3.100000,1737400.000,-6.394067900e-02,4.923713000e-01,7.972508500e-01,9.392160696e-01
-5.000000,3.200000,1737400.000,-6.306439100e-02,4.946184100e-01,7.758262400e-01,9.222422912e-01
-5.000000,3.300000,1737400.000,-6.219245600e-02,4.962099600e-01,7.547055600e-01,9.053577792e-01
-5.000000,3.400000,1737400.000,-6.132815800e-02,4.971842800e-01,7.339176900e-01,8.885879399e-01
-5.000000,3.500000,1737400.000,-6.046965300e-02,4.975742700e-01,7.134864300e-01,8.719516150e-01
-5.000000,3.600000,1737400.000,-5.962001600e-02,4.974198800e-01,6.934333100e-01,8.554711209e-01
-5.000000,3.700000,1737400.000,-5.877915600e-02,4.967540500e-01,6.737743100e-01,8.391611265e-01
-5.000000,3.800000,1737400.000,-5.794741900e-02,4.956133100e-01,6.545246200e-01,8.230388415e-01
-5.000000,3.900000,1737400.000,-5.712651300e-02,4.940298400e-01,6.356973100e-01,8.071183254e-01
-5.000000,4.000000,1737400.000,-5.631593700e-02,4.920366500e-01,6.173010700e-01,7.914114990e-01
-5.000000,4.100000,1737400.000,-5.551654200e-02,4.896658900e-01,5.993414900e-01,7.759284709e-01
-5.000000,4.200000,1737400.000,-5.472880800e-02,4.869471000e-01,5.818238500e-01,7.606784558e-01
-5.000000,4.300000,1737400.000,-5.395312500e-02,4.839105600e-01,5.647515800e-01,7.456706491e-01
-5.000000,4.400000,1737400.000,-5.318968900e-02,4.805821800e-01,5.481264900e-01,7.309110916e-01
-5.000000,4.500000,1737400.000,-5.243874700e-02,4.769884200e-01,5.319472100e-01,7.164046407e-01
-5.000000,4.600000,1737400.000,-5.170043200e-02,4.731561700e-01,5.162098000e-01,7.021554340e-01
-5.000000,4.700000,1737400.000,-5.097528700e-02,4.691076100e-01,5.009143800e-01,6.881683266e-01
-5.000000,4.800000,1737400.000,-5.026206800e-02,4.648651600e-01,4.860540300e-01,6.744437801e-01
