longitude_deg,latitude_deg,radius_m,Bx,By,Bz,Btot
-5.000000,-5.000000,1737400.000,3.096201600e-02,4.566606900e-01,4.584060600e-01,6.477914387e-01
-5.000000,-4.900000,1737400.000,3.109266400e-02,4.707062500e-01,4.630006800e-01,6.609846876e-01
-5.000000,-4.800000,1737400.000,3.121814500e-02,4.851804700e-01,4.674404000e-01,6.744443555e-01
-5.000000,-4.700000,1737400.000,3.133877400e-02,5.000858300e-01,4.717069600e-01,6.881681569e-01
-5.000000,-4.600000,1737400.000,3.145510300e-02,5.154297900e-01,4.757787900e-01,7.021557868e-01
-5.000000,-4.500000,1737400.000,3.156574100e-02,5.312167400e-01,4.796332100e-01,7.164046601e-01
-5.000000,-4.400000,1737400.000,3.167074900e-02,5.474491700e-01,4.832457300e-01,7.309104361e-01
-5.000000,-4.300000,1737400.000,3.176977500e-02,5.641300700e-01,4.865929500e-01,7.456706736e-01
-5.000000,-4.200000,1737400.000,3.186264300e-02,5.812585400e-01,4.896479000e-01,7.606785026e-01
-5.000000,-4.100000,1737400.000,3.194890900e-02,5.988351700e-01,4.923814200e-01,7.759276747e-01
-5.000000,-4.000000,1737400.000,3.202852200e-02,6.168566900e-01,4.947657600e-01,7.914108664e-01
-5.000000,-3.900000,1737400.000,3.210098700e-02,6.353173900e-01,4.967711000e-01,8.071184456e-01
-5.000000,-3.800000,1737400.000,3.216682400e-02,6.542106900e-01,4.983640300e-01,8.230389042e-01
-5.000000,-3.700000,1737400.000,3.222456200e-02,6.735282500e-01,4.995116000e-01,8.391606309e-01
-5.000000,-3.600000,1737400.000,3.227520000e-02,6.932577500e-01,5.001818500e-01,8.554705603e-01
-5.000000,-3.500000,1737400.000,3.231788400e-02,7.133837900e-01,5.003376000e-01,8.719510258e-01
-5.000000,-3.400000,1737400.000,3.235189600e-02,7.338901800e-01,4.999456100e-01,8.885871113e-01
-5.000000,-3.300000,1737400.000,3.237896800e-02,7.547552000e-01,4.989679800e-01,9.053578599e-01
-5.000000,-3.200000,1737400.000,3.239653600e-02,7.759550200e-01,4.973670500e-01,9.222416771e-01
-5.000000,-3.100000,1737400.000,3.240634900e-02,7.974618100e-01,4.951081300e-01,9.392164661e-01
-5.000000,-3.000000,1737400.000,3.240854300e-02,8.192427200e-01,4.921521800e-01,9.562545248e-01
-5.000000,-2.900000,1737400.000,3.240166600e-02,8.412658600e-01,4.884634000e-01,9.733317052e-01
-5.000000,-2.800000,1737400.000,3.238659400e-02,8.634879000e-01,4.840043800e-01,9.904142996e-01
-5.000000,-2.700000,1737400.000,3.236417500e-02,8.858666400e-01,4.787412900e-01,1.007472266e+00
-5.000000,-2.600000,1737400.000,3.233303500e-02,9.083565500e-01,4.726397400e-01,1.024473216e+00
-5.000000,-2.500000,1737400.000,3.229505600e-02,9.309000400e-01,4.656676100e-01,1.041376098e+00
-5.000000,-2.400000,1737400.000,3.224979300e-02,9.534459700e-01,4.577950500e-01,1.058147237e+00
-5.000000,-2.300000,1737400.000,3.219757200e-02,9.759323000e-01,4.489942200e-01,1.074744782e+00
-5.000000,-2.200000,1737400.000,3.213888000e-02,9.982929200e-01,4.392420600e-01,1.091125680e+00
-5.000000,-2.100000,1737400.000,3.207512900e-02,1.020460700e+00,4.285173400e-01,1.107247021e+00
-5.000000,-2.000000,1737400.000,3.200510500e-02,1.042361300e+00,4.168035100e-01,1.123061251e+00
-5.000000,-1.900000,1737400.000,3.193129600e-02,1.063924000e+00,4.040887700e-01,1.138526073e+00
-5.000000,-1.800000,1737400.000,3.185341100e-02,1.085066200e+00,3.903653900e-01,1.153589371e+00
-5.000000,-1.700000,1737400.000,3.177146200e-02,1.105710000e+00,3.756333600e-01,1.168205654e+00
-5.000000,-1.600000,1737400.000,3.168893200e-02,1.125770900e+00,3.598950200e-01,1.182323447e+00
-5.000000,-1.500000,1737400.000,3.160391000e-02,1.145165100e+00,3.431618800e-01,1.195893804e+00
-5.000000,-1.400000,1737400.000,3.151923400e-02,1.163811600e+00,3.254501800e-01,1.208870846e+00
-5.000000,-1.300000,1737400.000,3.143376900e-02,1.181621400e+00,3.067844500e-01,1.221201832e+00
-5.000000,-1.200000,1737400.000,3.135159600e-02,1.198515500e+00,2.871946100e-01,1.232843490e+00
-5.000000,-1.100000,1737400.000,3.127056400e-02,1.214407400e+00,2.667174900e-01,1.243744910e+00
-5.000000,-1.000000,1737400.000,3.119154600e-02,1.229222200e+00,2.453977500e-01,1.253866095e+00
-5.000000,-0.900000,1737400.000,3.111865900e-02,1.242880300e+00,2.232867200e-01,1.263161419e+00
-5.000000,-0.800000,1737400.000,3.104959400e-02,1.255312700e+00,2.004409300e-01,1.271593732e+00
-5.000000,-0.700000,1737400.000,3.098614300e-02,1.266452300e+00,1.769251700e-01,1.279126298e+00
-5.000000,-0.600000,1737400.000,3.093031400e-02,1.276236900e+00,1.528089900e-01,1.285724658e+00
-5.000000,-0.500000,1737400.000,3.088168200e-02,1.284613700e+00,1.281672300e-01,1.291360862e+00
-5.000000,-0.400000,1737400.000,3.084181400e-02,1.291533000e+00,1.030798600e-01,1.296007008e+00
-5.000000,-0.300000,1737400.000,3.081034900e-02,1.296958400e+00,7.763092200e-02,1.299644924e+00
-5.000000,-0.200000,1737400.000,3.078640400e-02,1.300855200e+00,5.190770300e-02,1.302254377e+00
-5.000000,-0.100000,1737400.000,3.077261300e-02,1.303203800e+00,2.600011800e-02,1.303826332e+00
-5.000000,0.000000,1737400.000,3.076688400e-02,1.303987600e+00,-3.368971600e-08,1.304350514e+00
-5.000000,0.100000,1737400.000,3.077263400e-02,1.303203500e+00,-2.600010100e-02,1.303826032e+00
-5.000000,0.200000,1737400.000,3.078640400e-02,1.300853500e+00,-5.190774100e-02,1.302252681e+00
-5.000000,0.300000,1737400.000,3.081032100e-02,1.296958000e+00,-7.763084800e-02,1.299644520e+00
-5.000000,0.400000,1737400.000,3.084180300e-02,1.291531600e+00,-1.030798600e-01,1.296005613e+00
-5.000000,0.500000,1737400.000,3.088169200e-02,1.284613400e+00,-1.281673300e-01,1.291360574e+00
-5.000000,0.600000,1737400.000,3.093027700e-02,1.276237800e+00,-1.528090100e-01,1.285725553e+00
-5.000000,0.700000,1737400.000,3.098615300e-02,1.266452300e+00,-1.769254500e-01,1.279126336e+00
-5.000000,0.800000,1737400.000,3.104958300e-02,1.255314000e+00,-2.004410600e-01,1.271595035e+00
-5.000000,0.900000,1737400.000,3.111862600e-02,1.242881500e+00,-2.232864100e-01,1.263162544e+00
-5.000000,1.000000,1737400.000,3.119157800e-02,1.229221900e+00,-2.453978700e-01,1.253865826e+00
-5.000000,1.100000,1737400.000,3.127059700e-02,1.214406800e+00,-2.667173100e-01,1.243744286e+00
-5.000000,1.200000,1737400.000,3.135163000e-02,1.198513500e+00,-2.871943100e-01,1.232841476e+00
-5.000000,1.300000,1737400.000,3.143378300e-02,1.181621100e+00,-3.067844800e-01,1.221201549e+00
-5.000000,1.400000,1737400.000,3.151920800e-02,1.163811900e+00,-3.254500600e-01,1.208871102e+00
-5.000000,1.500000,1737400.000,3.160391400e-02,1.145165400e+00,-3.431616100e-01,1.195894013e+00
-5.000000,1.600000,1737400.000,3.168893200e-02,1.125768900e+00,-3.598946300e-01,1.182321424e+00
-5.000000,1.700000,1737400.000,3.177148500e-02,1.105708700e+00,-3.756328500e-01,1.168204261e+00
-5.000000,1.800000,1737400.000,3.185343700e-02,1.085065700e+00,-3.903654800e-01,1.153588931e+00
-5.000000,1.900000,1737400.000,3.193130300e-02,1.063922800e+00,-4.040879000e-01,1.138524643e+00
-5.000000,2.000000,1737400.000,3.200509000e-02,1.042361600e+00,-4.168031500e-01,1.123061395e+00
-5.000000,2.100000,1737400.000,3.207511500e-02,1.020459500e+00,-4.285181500e-01,1.107246228e+00
-5.000000,2.200000,1737400.000,3.213884700e-02,9.982923300e-01,-4.392423300e-01,1.091125248e+00
-5.000000,2.300000,1737400.000,3.219759500e-02,9.759311100e-01,-4.489948500e-01,1.074743966e+00
-5.000000,2.400000,1737400.000,3.224979700e-02,9.534463900e-01,-4.577953500e-01,1.058147745e+00
-5.000000,2.500000,1737400.000,3.229505600e-02,9.309012900e-01,-4.656679600e-01,1.041377372e+00
-5.000000,2.600000,1737400.000,3.233302400e-02,9.083564900e-01,-4.726398300e-01,1.024473204e+00
-5.000000,2.700000,1737400.000,3.236418200e-02,8.858676000e-01,-4.787411400e-01,1.007473039e+00
-5.000000,2.800000,1737400.000,3.238660800e-02,8.634882000e-01,-4.840049400e-01,9.904148352e-01
-5.000000,2.900000,1737400.000,3.240165100e-02,8.412658600e-01,-4.884633700e-01,9.733316896e-01
-5.000000,3.000000,1737400.000,3.240854700e-02,8.192433700e-01,-4.921520900e-01,9.562550355e-01
-5.000000,3.100000,1737400.000,3.240636700e-02,7.974610300e-01,-4.951086300e-01,9.392160681e-01
-5.000000,3.200000,1737400.000,3.239653600e-02,7.759554400e-01,-4.973675300e-01,9.222422894e-01
-5.000000,3.300000,1737400.000,3.237901300e-02,7.547556200e-01,-4.989672000e-01,9.053577818e-01
-5.000000,3.400000,1737400.000,3.235188500e-02,7.338907100e-01,-4.999463000e-01,8.885879369e-01
-5.000000,3.500000,1737400.000,3.231784300e-02,7.133843900e-01,-5.003377800e-01,8.719516185e-01
-5.000000,3.600000,1737400.000,3.227515100e-02,6.932584000e-01,-5.001819100e-01,8.554711203e-01
-5.000000,3.700000,1737400.000,3.222456900e-02,6.735287300e-01,-4.995117800e-01,8.391611236e-01
-5.000000,3.800000,1737400.000,3.216682000e-02,6.542105700e-01,-4.983640900e-01,8.230388450e-01
-5.000000,3.900000,1737400.000,3.210104600e-02,6.353170900e-01,-4.967712800e-01,8.071183226e-01
-5.000000,4.000000,1737400.000,3.202848900e-02,6.168569300e-01,-4.947664700e-01,7.914114960e-01
-5.000000,4.100000,1737400.000,3.194894300e-02,5.988357100e-01,-4.923820200e-01,7.759284736e-01
-5.000000,4.200000,1737400.000,3.186257600e-02,5.812587100e-01,-4.896476300e-01,7.606784559e-01
-5.000000,4.300000,1737400.000,3.176974900e-02,5.641293500e-01,-4.865937500e-01,7.456706498e-01
-5.000000,4.400000,1737400.000,3.167074900e-02,5.474494100e-01,-4.832464500e-01,7.309110919e-01
-5.000000,4.500000,1737400.000,3.156575900e-02,5.312175200e-01,-4.796323200e-01,7.164046434e-01
-5.000000,4.600000,1737400.000,3.145507000e-02,5.154296800e-01,-4.757784000e-01,7.021554403e-01
-5.000000,4.700000,1737400.000,3.133872200e-02,5.000860100e-01,-4.717070200e-01,6.881683265e-01
-5.000000,4.800000,1737400.000,3.121809100e-02,4.851794500e-01,-4.674406300e-01,6.744437786e-01
-5.000000,4.900000,1737400.000,3.109271800e-02,4.707068500e-01,-4.630004800e-01,6.609849773e-01
-5.000000,5.000000,1737400.000,3.096197900e-02,4.566601200e-01,-4.584061500e-01,6.477910988e-01
