longitude_deg,latitude_deg,radius_m,Br
-6.000000,-6.000000,1737400.000,6.427804900e-03
-6.000000,-5.850000,1737400.000,6.651401500e-03
-6.000000,-5.700000,1737400.000,6.882239700e-03
-6.000000,-5.550000,1737400.000,7.120304500e-03
-6.000000,-5.400000,1737400.000,7.365594200e-03
-6.000000,-5.250000,1737400.000,7.618008000e-03
-6.000000,-5.100000,1737400.000,7.877459700e-03
-6.000000,-4.950000,1737400.000,8.143721300e-03
-6.000000,-4.800000,1737400.000,8.416565800e-03
-6.000000,-4.650000,1737400.000,8.695682800e-03
-6.000000,-4.500000,1737400.000,8.980713800e-03
-6.000000,-4.350000,1737400.000,9.271202200e-03
-6.000000,-4.200000,1737400.000,9.566499100e-03
-6.000000,-4.050000,1737400.000,9.866061500e-03
-6.000000,-3.900000,1737400.000,1.016913400e-02
-6.000000,-3.750000,1737400.000,1.047488200e-02
-6.000000,-3.600000,1737400.000,1.078233100e-02
-6.000000,-3.450000,1737400.000,1.109038100e-02
-6.000000,-3.300000,1737400.000,1.139802100e-02
-6.000000,-3.150000,1737400.000,1.170383100e-02
-6.000000,-3.000000,1737400.000,1.200652900e-02
-6.000000,-2.850000,1737400.000,1.230455700e-02
-6.000000,-2.700000,1737400.000,1.259641700e-02
-6.000000,-2.550000,1737400.000,1.288056400e-02
-6.000000,-2.400000,1737400.000,1.315508200e-02
-6.000000,-2.250000,1737400.000,1.341842000e-02
-6.000000,-2.100000,1737400.000,1.366872900e-02
-6.000000,-1.950000,1737400.000,1.390423000e-02
-6.000000,-1.800000,1737400.000,1.412308700e-02
-6.000000,-1.650000,1737400.000,1.432372600e-02
-6.000000,-1.500000,1737400.000,1.450441300e-02
-6.000000,-1.350000,1737400.000,1.466368500e-02
-6.000000,-1.200000,1737400.000,1.479999300e-02
-6.000000,-1.050000,1737400.000,1.491210900e-02
-6.000000,-0.900000,1737400.000,1.499911100e-02
-6.000000,-0.750000,1737400.000,1.505972400e-02
-6.000000,-0.600000,1737400.000,1.509377600e-02
-6.000000,-0.450000,1737400.000,1.510045800e-02
