longitude_deg,latitude_deg,radius_m,Br,Btheta,Bphi,Btot
-6.000000,-6.000000,1737400.000,6.427804900e-03,-9.666879700e-03,-1.340508000e-02,1.773305977e-02
-6.000000,-5.850000,1737400.000,6.651401500e-03,-1.053030400e-02,-1.348319900e-02,1.835551959e-02
-6.000000,-5.700000,1737400.000,6.882239700e-03,-1.144618500e-02,-1.352268300e-02,1.900640234e-02
-6.000000,-5.550000,1737400.000,7.120304500e-03,-1.241604500e-02,-1.351816300e-02,1.968749960e-02
-6.000000,-5.400000,1737400.000,7.365594200e-03,-1.344100000e-02,-1.346393800e-02,2.040073737e-02
-6.000000,-5.250000,1737400.000,7.618008000e-03,-1.452190000e-02,-1.335369700e-02,2.114806963e-02
-6.000000,-5.100000,1737400.000,7.877459700e-03,-1.565906500e-02,-1.318077900e-02,2.193156682e-02
-6.000000,-4.950000,1737400.000,8.143721300e-03,-1.685260100e-02,-1.293792900e-02,2.275346927e-02
-6.000000,-4.800000,1737400.000,8.416565800e-03,-1.810178800e-02,-1.261765600e-02,2.361606554e-02
-6.000000,-4.650000,1737400.000,8.695682800e-03,-1.940540500e-02,-1.221194100e-02,2.452174842e-02
-6.000000,-4.500000,1737400.000,8.980713800e-03,-2.076126700e-02,-1.171260100e-02,2.547289638e-02
-6.000000,-4.350000,1737400.000,9.271202200e-03,-2.216664800e-02,-1.111088300e-02,2.647200776e-02
-6.000000,-4.200000,1737400.000,9.566499100e-03,-2.361785100e-02,-1.039799700e-02,2.752161210e-02
-6.000000,-4.050000,1737400.000,9.866061500e-03,-2.510978500e-02,-9.565078800e-03,2.862396207e-02
-6.000000,-3.900000,1737400.000,1.016913400e-02,-2.663653500e-02,-8.603255300e-03,2.978140838e-02
-6.000000,-3.750000,1737400.000,1.047488200e-02,-2.819070600e-02,-7.503791400e-03,3.099590204e-02
-6.000000,-3.600000,1737400.000,1.078233100e-02,-2.976403900e-02,-6.258346800e-03,3.226954577e-02
-6.000000,-3.450000,1737400.000,1.109038100e-02,-3.134620900e-02,-4.859197500e-03,3.360346961e-02
-6.000000,-3.300000,1737400.000,1.139802100e-02,-3.292594700e-02,-3.299128200e-03,3.499881591e-02
-6.000000,-3.150000,1737400.000,1.170383100e-02,-3.449046900e-02,-1.572299900e-03,3.645605901e-02
-6.000000,-3.000000,1737400.000,1.200652900e-02,-3.602552000e-02,3.260005900e-04,3.797500634e-02
