longitude_deg,latitude_deg,radius_m,Bx,By,Bz,Btot
-6.000000,-6.000000,1737400.000,5.961289600e-03,-1.410547600e-02,8.942035000e-03,1.773306000e-02
-6.000000,-5.850000,1737400.000,6.238552300e-03,-1.421316700e-02,9.797522800e-03,1.835551971e-02
-6.000000,-5.700000,1737400.000,6.527795000e-03,-1.428326900e-02,1.070604800e-02,1.900640273e-02
-6.000000,-5.550000,1737400.000,6.829301800e-03,-1.431041300e-02,1.166920500e-02,1.968749930e-02
-6.000000,-5.400000,1737400.000,7.143350800e-03,-1.428889800e-02,1.268818500e-02,2.040073786e-02
-6.000000,-5.250000,1737400.000,7.470149500e-03,-1.421239700e-02,1.376392000e-02,2.114806979e-02
-6.000000,-5.100000,1737400.000,7.809900200e-03,-1.407423600e-02,1.489681100e-02,2.193156716e-02
-6.000000,-4.950000,1737400.000,8.162704300e-03,-1.386713000e-02,1.608705500e-02,2.275346950e-02
-6.000000,-4.800000,1737400.000,8.528619100e-03,-1.358355200e-02,1.733402200e-02,2.361606545e-02
-6.000000,-4.650000,1737400.000,8.907640400e-03,-1.321543900e-02,1.863658400e-02,2.452174848e-02
-6.000000,-4.500000,1737400.000,9.299670300e-03,-1.275455200e-02,1.999264800e-02,2.547289615e-02
-6.000000,-4.350000,1737400.000,9.704554500e-03,-1.219207500e-02,2.139958200e-02,2.647200749e-02
-6.000000,-4.200000,1737400.000,1.012190900e-02,-1.151912800e-02,2.285379200e-02,2.752161261e-02
-6.000000,-4.050000,1737400.000,1.055140200e-02,-1.072676300e-02,2.435027100e-02,2.862396245e-02
-6.000000,-3.900000,1737400.000,1.099248900e-02,-9.806001600e-03,2.588319600e-02,2.978140892e-02
-6.000000,-3.750000,1737400.000,1.144449500e-02,-8.747989300e-03,2.744525700e-02,3.099590157e-02
-6.000000,-3.600000,1737400.000,1.190659000e-02,-7.544252600e-03,2.902827800e-02,3.226954534e-02
-6.000000,-3.450000,1737400.000,1.237771600e-02,-6.186913700e-03,3.062200900e-02,3.360346991e-02
-6.000000,-3.300000,1737400.000,1.285689900e-02,-4.668615300e-03,3.221523400e-02,3.499881601e-02
-6.000000,-3.150000,1737400.000,1.334265500e-02,-2.983330100e-03,3.379523000e-02,3.645605946e-02
-6.000000,-3.000000,1737400.000,1.383356900e-02,-1.126170400e-03,3.534777500e-02,3.797500610e-02
-6.000000,-2.850000,1737400.000,1.432788400e-02,9.063392600e-04,3.685722500e-02,3.955457932e-02
-6.000000,-2.700000,1737400.000,1.482380400e-02,3.115701300e-03,3.830678800e-02,4.119299414e-02
-6.000000,-2.550000,1737400.000,1.531938100e-02,5.501240000e-03,3.967846900e-02,4.288738717e-02
-6.000000,-2.400000,1737400.000,1.581224800e-02,8.060312800e-03,4.095356500e-02,4.463395922e-02
-6.000000,-2.250000,1737400.000,1.630020300e-02,1.078687200e-02,4.211239500e-02,4.642743842e-02
-6.000000,-2.100000,1737400.000,1.678071900e-02,1.367264500e-02,4.313523300e-02,4.826160044e-02
-6.000000,-1.950000,1737400.000,1.725122700e-02,1.670628600e-02,4.400242500e-02,5.012901586e-02
-6.000000,-1.800000,1737400.000,1.770900400e-02,1.987349200e-02,4.469470700e-02,5.202097020e-02
-6.000000,-1.650000,1737400.000,1.815141200e-02,2.315605400e-02,4.519360900e-02,5.392716281e-02
-6.000000,-1.500000,1737400.000,1.857568700e-02,2.653389600e-02,4.548228200e-02,5.583674203e-02
-6.000000,-1.350000,1737400.000,1.897912500e-02,2.998278100e-02,4.554573400e-02,5.773723433e-02
-6.000000,-1.200000,1737400.000,1.935899100e-02,3.347710100e-02,4.537120800e-02,5.961571386e-02
-6.000000,-1.050000,1737400.000,1.971273500e-02,3.698812400e-02,4.494877900e-02,6.145816440e-02
-6.000000,-0.900000,1737400.000,2.003809600e-02,4.048550100e-02,4.427174500e-02,6.325020544e-02
-6.000000,-0.750000,1737400.000,2.033244800e-02,4.393766400e-02,4.333710300e-02,6.497715949e-02
-6.000000,-0.600000,1737400.000,2.059424700e-02,4.731215500e-02,4.214514400e-02,6.662414114e-02
-6.000000,-0.450000,1737400.000,2.082134000e-02,5.057652300e-02,4.070057700e-02,6.817660776e-02
-6.000000,-0.300000,1737400.000,2.101239400e-02,5.369899000e-02,3.901184000e-02,6.962058524e-02
-6.000000,-0.150000,1737400.000,2.116609700e-02,5.664923400e-02,3.709128500e-02,7.094295453e-02
-6.000000,0.000000,1737400.000,2.128171000e-02,5.939800700e-02,3.495495800e-02,7.213101625e-02
-6.000000,0.150000,1737400.000,2.135857000e-02,6.192027400e-02,3.262232600e-02,7.317461991e-02
-6.000000,0.300000,1737400.000,2.139665600e-02,6.419220600e-02,3.011586100e-02,7.406362996e-02
-6.000000,0.450000,1737400.000,2.139588100e-02,6.619547300e-02,2.746050200e-02,7.479106591e-02
-6.000000,0.600000,1737400.000,2.135687900e-02,6.791441100e-02,2.468317600e-02,7.535079747e-02
-6.000000,0.750000,1737400.000,2.128033500e-02,6.933821700e-02,2.181217300e-02,7.573910407e-02
-6.000000,0.900000,1737400.000,2.116762800e-02,7.045967900e-02,1.887650000e-02,7.595365095e-02
-6.000000,1.050000,1737400.000,2.101976600e-02,7.127714200e-02,1.590522000e-02,7.599498377e-02
-6.000000,1.200000,1737400.000,2.083864200e-02,7.179255000e-02,1.292695600e-02,7.586517928e-02
-6.000000,1.350000,1737400.000,2.062592300e-02,7.201153800e-02,9.969155300e-03,7.556768067e-02
-6.000000,1.500000,1737400.000,2.038375100e-02,7.194398300e-02,7.057820400e-03,7.510823406e-02
-6.000000,1.650000,1737400.000,2.011421700e-02,7.160279900e-02,4.216731100e-03,7.449378076e-02
-6.000000,1.800000,1737400.000,1.981974800e-02,7.100385400e-02,1.467526700e-03,7.373278327e-02
-6.000000,1.950000,1737400.000,1.950252200e-02,7.016540300e-02,-1.170916700e-03,7.283476634e-02
-6.000000,2.100000,1737400.000,1.916502200e-02,6.910745100e-02,-3.682477200e-03,7.181015590e-02
-6.000000,2.250000,1737400.000,1.880960700e-02,6.785093200e-02,-6.053882200e-03,7.066965246e-02
-6.000000,2.400000,1737400.000,1.843873000e-02,6.641846200e-02,-8.274779700e-03,6.942528961e-02
-6.000000,2.550000,1737400.000,1.805465100e-02,6.483224000e-02,-1.033743300e-02,6.808856209e-02
-6.000000,2.700000,1737400.000,1.765964400e-02,6.311442700e-02,-1.223710900e-02,6.667113887e-02
-6.000000,2.850000,1737400.000,1.725595800e-02,6.128702300e-02,-1.397112000e-02,6.518481011e-02
-6.000000,3.000000,1737400.000,1.684567100e-02,5.937113200e-02,-1.553939700e-02,6.364103083e-02
-6.000000,3.150000,1737400.000,1.643057000e-02,5.738671500e-02,-1.694363900e-02,6.205066955e-02
-6.000000,3.300000,1737400.000,1.601261100e-02,5.535258700e-02,-1.818740000e-02,6.042428417e-02
-6.000000,3.450000,1737400.000,1.559334100e-02,5.328612000e-02,-1.927562400e-02,5.877169854e-02
-6.000000,3.600000,1737400.000,1.517457300e-02,5.120286000e-02,-2.021442200e-02,5.710186857e-02
-6.000000,3.750000,1737400.000,1.475742300e-02,4.911735700e-02,-2.101114200e-02,5.542350025e-02
-6.000000,3.900000,1737400.000,1.434331100e-02,4.704233600e-02,-2.167327500e-02,5.374423500e-02
-6.000000,4.050000,1737400.000,1.393336500e-02,4.498884800e-02,-2.220954900e-02,5.207109727e-02
-6.000000,4.200000,1737400.000,1.352857700e-02,4.296660800e-02,-2.262862200e-02,5.041037921e-02
-6.000000,4.350000,1737400.000,1.312970000e-02,4.098383000e-02,-2.293898400e-02,4.876741054e-02
-6.000000,4.500000,1737400.000,1.273764400e-02,3.904757300e-02,-2.314972300e-02,4.714732449e-02
-6.000000,4.650001,1737400.000,1.235293900e-02,3.716335100e-02,-2.326943700e-02,4.555410473e-02
-6.000000,4.800000,1737400.000,1.197625000e-02,3.533556700e-02,-2.330659700e-02,4.399125280e-02
-6.000000,4.950000,1737400.000,1.160791100e-02,3.356787900e-02,-2.326937400e-02,4.246186365e-02
-6.000000,5.100000,1737400.000,1.124832100e-02,3.186277300e-02,-2.316562800e-02,4.096837011e-02
-6.000000,5.250000,1737400.000,1.089771400e-02,3.022208400e-02,-2.300273300e-02,3.951278600e-02
-6.000000,5.400001,1737400.000,1.055631000e-02,2.864671500e-02,-2.278768600e-02,3.809656933e-02
-6.000000,5.550001,1737400.000,1.022428200e-02,2.713711600e-02,-2.252697600e-02,3.672088854e-02
-6.000000,5.700000,1737400.000,9.901687500e-03,2.569319700e-02,-2.222655900e-02,3.538649054e-02
-6.000000,5.850000,1737400.000,9.588486500e-03,2.431419700e-02,-2.189210600e-02,3.409374656e-02
-6.000000,6.000000,1737400.000,9.284765500e-03,2.299927400e-02,-2.152879900e-02,3.284300019e-02
