longitude_deg,latitude_deg,radius_m,Bx,By,Bz,Btot
-6.000000,-6.000000,1737400.000,-1.751128600e-02,2.337694200e-03,2.350585800e-03,1.782232323e-02
-6.000000,-5.850000,1737400.000,-1.819502400e-02,2.417276600e-03,2.369332400e-03,1.850718403e-02
-6.000000,-5.700000,1737400.000,-1.890503800e-02,2.499187100e-03,2.386294500e-03,1.921824132e-02
-6.000000,-5.550000,1737400.000,-1.964177900e-02,2.583361900e-03,2.401227600e-03,1.995592982e-02
-6.000000,-5.400000,1737400.000,-2.040570000e-02,2.669795200e-03,2.413970700e-03,2.072070591e-02
-6.000000,-5.250000,1737400.000,-2.119706800e-02,2.758452200e-03,2.424321800e-03,2.151283539e-02
-6.000000,-5.100000,1737400.000,-2.201601100e-02,2.849217300e-03,2.432010400e-03,2.233243055e-02
-6.000000,-4.950000,1737400.000,-2.286262800e-02,2.942072900e-03,2.436864900e-03,2.317960014e-02
-6.000000,-4.800000,1737400.000,-2.373673600e-02,3.036834500e-03,2.438581800e-03,2.405414062e-02
-6.000000,-4.650000,1737400.000,-2.463809000e-02,3.133459500e-03,2.436981100e-03,2.495581944e-02
-6.000000,-4.500000,1737400.000,-2.556609400e-02,3.231807400e-03,2.431825300e-03,2.588403979e-02
-6.000000,-4.350000,1737400.000,-2.652012600e-02,3.331648000e-03,2.422818200e-03,2.683816330e-02
-6.000000,-4.200000,1737400.000,-2.749905700e-02,3.432793800e-03,2.409734100e-03,2.781706360e-02
-6.000000,-4.050000,1737400.000,-2.850176400e-02,3.535048100e-03,2.392292000e-03,2.881961445e-02
-6.000000,-3.900000,1737400.000,-2.952655400e-02,3.638173900e-03,2.370302300e-03,2.984412896e-02
-6.000000,-3.750000,1737400.000,-3.057154800e-02,3.741916000e-03,2.343532400e-03,3.088872977e-02
-6.000000,-3.600000,1737400.000,-3.163453200e-02,3.846002000e-03,2.311780400e-03,3.195120772e-02
-6.000000,-3.450000,1737400.000,-3.271287700e-02,3.950012800e-03,2.274768900e-03,3.302891909e-02
-6.000000,-3.300000,1737400.000,-3.380348200e-02,4.053795700e-03,2.232437300e-03,3.411879879e-02
-6.000000,-3.150000,1737400.000,-3.490301600e-02,4.156827900e-03,2.184533000e-03,3.521749464e-02
-6.000000,-3.000000,1737400.000,-3.600757600e-02,4.258743500e-03,2.130920500e-03,3.632111298e-02
-6.000000,-2.850000,1737400.000,-3.711289500e-02,4.359120000e-03,2.071515700e-03,3.742539351e-02
-6.000000,-2.700000,1737400.000,-3.821439300e-02,4.457678200e-03,2.006287000e-03,3.852578247e-02
-6.000000,-2.550000,1737400.000,-3.930682300e-02,4.553931800e-03,1.935191800e-03,3.961703670e-02
-6.000000,-2.400000,1737400.000,-4.038490000e-02,4.647426800e-03,1.858220400e-03,4.069387800e-02
-6.000000,-2.250000,1737400.000,-4.144289700e-02,4.737766900e-03,1.775450100e-03,4.175059724e-02
-6.000000,-2.100000,1737400.000,-4.247461600e-02,4.824582000e-03,1.686980800e-03,4.278101799e-02
-6.000000,-1.950000,1737400.000,-4.347381000e-02,4.907322600e-03,1.592908100e-03,4.377889134e-02
-6.000000,-1.800000,1737400.000,-4.443398900e-02,4.985696200e-03,1.493458100e-03,4.473775768e-02
