longitude_deg,latitude_deg,radius_m,Br
-6.000000,-6.000000,1737400.000,-1.780867400e-02
-6.000000,-5.850000,1737400.000,-1.849396300e-02
-6.000000,-5.700000,1737400.000,-1.920546200e-02
-6.000000,-5.550000,1737400.000,-1.994360900e-02
-6.000000,-5.400000,1737400.000,-2.070885600e-02
-6.000000,-5.250000,1737400.000,-2.150146900e-02
-6.000000,-5.100000,1737400.000,-2.232156000e-02
-6.000000,-4.950000,1737400.000,-2.316923400e-02
-6.000000,-4.800000,1737400.000,-2.404428900e-02
-6.000000,-4.650000,1737400.000,-2.494648900e-02
-6.000000,-4.500000,1737400.000,-2.587523400e-02
-6.000000,-4.350000,1737400.000,-2.682988600e-02
-6.000000,-4.200000,1737400.000,-2.780931500e-02
-6.000000,-4.050000,1737400.000,-2.881239400e-02
-6.000000,-3.900000,1737400.000,-2.983743300e-02
-6.000000,-3.750000,1737400.000,-3.088255000e-02
-6.000000,-3.600000,1737400.000,-3.194553400e-02
-6.000000,-3.450000,1737400.000,-3.302374200e-02
-6.000000,-3.300000,1737400.000,-3.411410000e-02
-6.000000,-3.150000,1737400.000,-3.521325800e-02
-6.000000,-3.000000,1737400.000,-3.631732000e-02
-6.000000,-2.850000,1737400.000,-3.742202100e-02
-6.000000,-2.700000,1737400.000,-3.852280600e-02
-6.000000,-2.550000,1737400.000,-3.961443000e-02
-6.000000,-2.400000,1737400.000,-4.069161300e-02
-6.000000,-2.250000,1737400.000,-4.174864600e-02
-6.000000,-2.100000,1737400.000,-4.277935000e-02
-6.000000,-1.950000,1737400.000,-4.377747900e-02
-6.000000,-1.800000,1737400.000,-4.473657000e-02
-6.000000,-1.650000,1737400.000,-4.565007700e-02
-6.000000,-1.500000,1737400.000,-4.651142400e-02
-6.000000,-1.350000,1737400.000,-4.731412100e-02
-6.000000,-1.200000,1737400.000,-4.805198400e-02
-6.000000,-1.050000,1737400.000,-4.871898100e-02
-6.000000,-0.900000,1737400.000,-4.930952400e-02
-6.000000,-0.750000,1737400.000,-4.981842200e-02
-6.000000,-0.600000,1737400.000,-5.024127600e-02
-6.000000,-0.450000,1737400.000,-5.057433700e-02
