longitude_deg,latitude_deg,radius_m,Bx,By,Bz,Btot
-6.000000,-6.000000,1737400.000,-5.924888000e-03,2.402691000e-02,2.058695100e-02,3.219035964e-02
-6.000000,-5.850000,1737400.000,-6.213743700e-03,2.529383100e-02,2.085323300e-02,3.336533866e-02
-6.000000,-5.700000,1737400.000,-6.515796800e-03,2.661731300e-02,2.108699500e-02,3.457742497e-02
-6.000000,-5.550000,1737400.000,-6.831545800e-03,2.799768400e-02,2.128325000e-02,3.582620630e-02
-6.000000,-5.400000,1737400.000,-7.161320700e-03,2.943494700e-02,2.143663400e-02,3.711104817e-02
-6.000000,-5.250000,1737400.000,-7.505356800e-03,3.092866900e-02,2.154144500e-02,3.843106555e-02
-6.000000,-5.100000,1737400.000,-7.864041300e-03,3.247776600e-02,2.159153100e-02,3.978495496e-02
-6.000000,-4.950000,1737400.000,-8.237524000e-03,3.408061300e-02,2.158036500e-02,4.117107161e-02
-6.000000,-4.800000,1737400.000,-8.626019600e-03,3.573485100e-02,2.150110300e-02,4.258738335e-02
-6.000000,-4.650000,1737400.000,-9.029532800e-03,3.743730500e-02,2.134658600e-02,4.403136385e-02
-6.000000,-4.500000,1737400.000,-9.448064500e-03,3.918398900e-02,2.110936300e-02,4.550006729e-02
-6.000000,-4.350000,1737400.000,-9.881578400e-03,4.096981100e-02,2.078178200e-02,4.698992943e-02
-6.000000,-4.200000,1737400.000,-1.032975000e-02,4.278865500e-02,2.035609400e-02,4.849683799e-02
-6.000000,-4.050000,1737400.000,-1.079231400e-02,4.463330700e-02,1.982457700e-02,5.001619726e-02
-6.000000,-3.900000,1737400.000,-1.126876300e-02,4.649524000e-02,1.917954500e-02,5.154267464e-02
-6.000000,-3.750000,1737400.000,-1.175839900e-02,4.836468000e-02,1.841359600e-02,5.307035647e-02
-6.000000,-3.600000,1737400.000,-1.226031000e-02,5.023044700e-02,1.751976800e-02,5.459263025e-02
-6.000000,-3.450000,1737400.000,-1.277370300e-02,5.207995000e-02,1.649167200e-02,5.610226311e-02
-6.000000,-3.300000,1737400.000,-1.329711700e-02,5.389948600e-02,1.532373200e-02,5.759153301e-02
-6.000000,-3.150000,1737400.000,-1.382928200e-02,5.567365500e-02,1.401133800e-02,5.905186275e-02
-6.000000,-3.000000,1737400.000,-1.436854000e-02,5.738596600e-02,1.255121500e-02,6.047426753e-02
-6.000000,-2.850000,1737400.000,-1.491312500e-02,5.901878300e-02,1.094148200e-02,6.184928514e-02
-6.000000,-2.700000,1737400.000,-1.546076500e-02,6.055351300e-02,9.182097400e-03,6.316703336e-02
-6.000000,-2.550000,1737400.000,-1.600919100e-02,6.197073300e-02,7.274828400e-03,6.441730414e-02
-6.000000,-2.400000,1737400.000,-1.655600200e-02,6.325045200e-02,5.223695200e-03,6.558969334e-02
-6.000000,-2.250000,1737400.000,-1.709836900e-02,6.437271800e-02,3.035015200e-03,6.667392566e-02
-6.000000,-2.100000,1737400.000,-1.763345500e-02,6.531745900e-02,7.175493500e-04,6.765961914e-02
-6.000000,-1.950000,1737400.000,-1.815830900e-02,6.606539300e-02,-1.717316200e-03,6.853692080e-02
-6.000000,-1.800000,1737400.000,-1.866960200e-02,6.659815500e-02,-4.255627300e-03,6.929631052e-02
-6.000000,-1.650000,1737400.000,-1.916419500e-02,6.689891200e-02,-6.880877100e-03,6.992908741e-02
-6.000000,-1.500000,1737400.000,-1.963865200e-02,6.695287700e-02,-9.574102200e-03,7.042746498e-02
-6.000000,-1.350000,1737400.000,-2.008976400e-02,6.674747900e-02,-1.231412000e-02,7.078461783e-02
