longitude_deg,latitude_deg,radius_m,Br,Btheta,Bphi,Btot
-6.000000,-6.000000,1737400.000,-1.050981200e-02,-1.959572400e-02,2.327596900e-02,3.219036005e-02
-6.000000,-5.850000,1737400.000,-1.090313200e-02,-1.984528900e-02,2.450575600e-02,3.336533920e-02
-6.000000,-5.700000,1737400.000,-1.131092700e-02,-2.006279600e-02,2.579041400e-02,3.457742482e-02
-6.000000,-5.550000,1737400.000,-1.173350400e-02,-2.024334900e-02,2.713021900e-02,3.582620658e-02
-6.000000,-5.400000,1737400.000,-1.217098200e-02,-2.038169800e-02,2.852513700e-02,3.711104764e-02
-6.000000,-5.250000,1737400.000,-1.262337000e-02,-2.047226900e-02,2.997471500e-02,3.843106566e-02
-6.000000,-5.100000,1737400.000,-1.309077400e-02,-2.050903000e-02,3.147783300e-02,3.978495502e-02
-6.000000,-4.950000,1737400.000,-1.357304200e-02,-2.048560000e-02,3.303286000e-02,4.117107135e-02
-6.000000,-4.800000,1737400.000,-1.407005300e-02,-2.039528000e-02,3.463742700e-02,4.258738295e-02
-6.000000,-4.650000,1737400.000,-1.458143500e-02,-2.023107800e-02,3.628837600e-02,4.403136378e-02
-6.000000,-4.500000,1737400.000,-1.510677900e-02,-1.998570800e-02,3.798174300e-02,4.550006700e-02
-6.000000,-4.350000,1737400.000,-1.564558700e-02,-1.965169200e-02,3.971246800e-02,4.698992983e-02
-6.000000,-4.200000,1737400.000,-1.619703800e-02,-1.922147200e-02,4.147450100e-02,4.849683762e-02
-6.000000,-4.050000,1737400.000,-1.676034000e-02,-1.868751100e-02,4.326069700e-02,5.001619707e-02
-6.000000,-3.900000,1737400.000,-1.733440300e-02,-1.804232200e-02,4.506262800e-02,5.154267506e-02
-6.000000,-3.750000,1737400.000,-1.791791600e-02,-1.727870300e-02,4.687064600e-02,5.307035658e-02
-6.000000,-3.600000,1737400.000,-1.850931200e-02,-1.638990000e-02,4.867372800e-02,5.459263000e-02
-6.000000,-3.450000,1737400.000,-1.910710300e-02,-1.536970900e-02,5.045943500e-02,5.610226306e-02
-6.000000,-3.300000,1737400.000,-1.970913000e-02,-1.421276200e-02,5.221429200e-02,5.759153322e-02
-6.000000,-3.150000,1737400.000,-2.031335800e-02,-1.291462800e-02,5.392311500e-02,5.905186247e-02
-6.000000,-3.000000,1737400.000,-2.091737000e-02,-1.147220700e-02,5.556967800e-02,6.047426737e-02
-6.000000,-2.850000,1737400.000,-2.151862300e-02,-9.883771500e-03,5.713662600e-02,6.184928541e-02
-6.000000,-2.700000,1737400.000,-2.211407500e-02,-8.149428700e-03,5.860570500e-02,6.316703381e-02
-6.000000,-2.550000,1737400.000,-2.270068200e-02,-6.271057500e-03,5.995783500e-02,6.441730438e-02
-6.000000,-2.400000,1737400.000,-2.327528200e-02,-4.252757900e-03,6.117338600e-02,6.558969322e-02
-6.000000,-2.250000,1737400.000,-2.383434000e-02,-2.100903100e-03,6.223281100e-02,6.667392535e-02
-6.000000,-2.100000,1737400.000,-2.437432100e-02,1.757342000e-04,6.311644500e-02,6.765961895e-02
-6.000000,-1.950000,1737400.000,-2.489165700e-02,2.565799200e-03,6.380542000e-02,6.853692096e-02
-6.000000,-1.800000,1737400.000,-2.538246100e-02,5.055404200e-03,6.428181900e-02,6.929631081e-02
-6.000000,-1.650000,1737400.000,-2.584312200e-02,7.628165600e-03,6.452922900e-02,6.992908737e-02
-6.000000,-1.500000,1737400.000,-2.626983900e-02,1.026528400e-02,6.453330400e-02,7.042746497e-02
-6.000000,-1.350000,1737400.000,-2.665912100e-02,1.294579600e-02,6.428187700e-02,7.078461752e-02
-6.000000,-1.200000,1737400.000,-2.700757100e-02,1.564686100e-02,6.376568500e-02,7.099504021e-02
-6.000000,-1.050000,1737400.000,-2.731205600e-02,1.834400800e-02,6.297866500e-02,7.105464994e-02
-6.000000,-0.900000,1737400.000,-2.756966200e-02,2.101163300e-02,6.191851900e-02,7.096110187e-02
-6.000000,-0.750000,1737400.000,-2.777802000e-02,2.362359000e-02,6.058607100e-02,7.071325476e-02
-6.000000,-0.600000,1737400.000,-2.793465200e-02,2.615354300e-02,5.898691800e-02,7.031222574e-02
-6.000000,-0.450000,1737400.000,-2.803822000e-02,2.857558900e-02,5.712971800e-02,6.976038092e-02
-6.000000,-0.300000,1737400.000,-2.808737100e-02,3.086498900e-02,5.502777200e-02,6.906231713e-02
-6.000000,-0.150000,1737400.000,-2.808159400e-02,3.299845000e-02,5.269740000e-02,6.822381982e-02
-6.000000,0.000000,1737400.000,-2.802053500e-02,3.495485300e-02,5.015886700e-02,6.725253950e-02
-6.000000,0.150000,1737400.000,-2.790471900e-02,3.671564700e-02,4.743514000e-02,6.615742274e-02
-6.000000,0.300000,1737400.000,-2.773505500e-02,3.826531700e-02,4.455182700e-02,6.494869552e-02
-6.000000,0.450000,1737400.000,-2.751294600e-02,3.959150300e-02,4.153630500e-02,6.363736277e-02
-6.000000,0.600000,1737400.000,-2.724031500e-02,4.068554700e-02,3.841782200e-02,6.223566135e-02
-6.000000,0.750000,1737400.000,-2.691953500e-02,4.154225700e-02,3.522585900e-02,6.075591842e-02
-6.000000,0.900000,1737400.000,-2.655322700e-02,4.216023900e-02,3.199054300e-02,5.921110080e-02
-6.000000,1.050000,1737400.000,-2.614460100e-02,4.254143900e-02,2.874092600e-02,5.761384400e-02
-6.000000,1.200000,1737400.000,-2.569702100e-02,4.269134900e-02,2.550563800e-02,5.597701079e-02
-6.000000,1.350000,1737400.000,-2.521406800e-02,4.261839700e-02,2.231141200e-02,5.431276179e-02
