longitude_deg,latitude_deg,radius_m,Bx,By,Bz,Btot
-5.000000,-5.000000,1737400.000,3.131522100e-03,4.559236800e-02,1.549856500e-02,4.825635676e-02
-5.000000,-4.900000,1737400.000,3.145313400e-03,4.699239900e-02,1.502686400e-02,4.943667871e-02
-5.000000,-4.800000,1737400.000,3.157238200e-03,4.841422700e-02,1.449168400e-02,5.063511069e-02
-5.000000,-4.700000,1737400.000,3.167242700e-03,4.985534400e-02,1.388880500e-02,5.185060902e-02
-5.000000,-4.600000,1737400.000,3.175288000e-03,5.131271900e-02,1.321406600e-02,5.308190959e-02
-5.000000,-4.500000,1737400.000,3.181105000e-03,5.278289700e-02,1.246299900e-02,5.432752515e-02
-5.000000,-4.400000,1737400.000,3.184601700e-03,5.426197100e-02,1.163127600e-02,5.558587740e-02
-5.000000,-4.300000,1737400.000,3.185629400e-03,5.574544500e-02,1.071433300e-02,5.685507721e-02
-5.000000,-4.200000,1737400.000,3.184049900e-03,5.722844600e-02,9.707787100e-03,5.813324639e-02
-5.000000,-4.100000,1737400.000,3.179717600e-03,5.870533700e-02,8.607206900e-03,5.941810504e-02
-5.000000,-4.000000,1737400.000,3.172487700e-03,6.016998000e-02,7.408185900e-03,6.070726801e-02
-5.000000,-3.900000,1737400.000,3.162220100e-03,6.161563100e-02,6.106621600e-03,6.199819713e-02
-5.000000,-3.800000,1737400.000,3.148822600e-03,6.303479500e-02,4.698433000e-03,6.328803787e-02
-5.000000,-3.700000,1737400.000,3.132054600e-03,6.441930700e-02,3.179886400e-03,6.457374511e-02
-5.000000,-3.600000,1737400.000,3.111884500e-03,6.576039600e-02,1.547587700e-03,6.585217183e-02
-5.000000,-3.500000,1737400.000,3.088135500e-03,6.704860900e-02,-2.014704700e-04,6.711999061e-02
-5.000000,-3.400000,1737400.000,3.060620700e-03,6.827358200e-02,-2.069803400e-03,6.837348524e-02
-5.000000,-3.300000,1737400.000,3.029407200e-03,6.942462900e-02,-4.059280700e-03,6.960915299e-02
-5.000000,-3.200000,1737400.000,2.994149500e-03,7.049000300e-02,-6.171109600e-03,7.082293448e-02
-5.000000,-3.100000,1737400.000,2.954937300e-03,7.145771400e-02,-8.405705900e-03,7.201105774e-02
-5.000000,-3.000000,1737400.000,2.911690200e-03,7.231500700e-02,-1.076268500e-02,7.316948521e-02
-5.000000,-2.900000,1737400.000,2.864218100e-03,7.304859900e-02,-1.324044400e-02,7.429408401e-02
-5.000000,-2.800000,1737400.000,2.812533600e-03,7.364495100e-02,-1.583654200e-02,7.538093403e-02
-5.000000,-2.700000,1737400.000,2.756666200e-03,7.409019800e-02,-1.854704300e-02,7.642610452e-02
-5.000000,-2.600000,1737400.000,2.696469000e-03,7.437025000e-02,-2.136693500e-02,7.742577698e-02
-5.000000,-2.500000,1737400.000,2.632078500e-03,7.447103400e-02,-2.428972300e-02,7.837635731e-02
-5.000000,-2.400000,1737400.000,2.563448900e-03,7.437849800e-02,-2.730749400e-02,7.927440611e-02
-5.000000,-2.300000,1737400.000,2.490627300e-03,7.407907400e-02,-3.041064900e-02,8.011691458e-02
-5.000000,-2.200000,1737400.000,2.413673300e-03,7.355968700e-02,-3.358831300e-02,8.090134820e-02
-5.000000,-2.100000,1737400.000,2.332734400e-03,7.280781900e-02,-3.682775400e-02,8.162538589e-02
-5.000000,-2.000000,1737400.000,2.247786400e-03,7.181217500e-02,-4.011476800e-02,8.228751809e-02
-5.000000,-1.900000,1737400.000,2.159080500e-03,7.056240700e-02,-4.343369200e-02,8.288667270e-02
-5.000000,-1.800000,1737400.000,2.066690200e-03,6.904969400e-02,-4.676729100e-02,8.342248472e-02
-5.000000,-1.700000,1737400.000,1.970717200e-03,6.726710500e-02,-5.009694400e-02,8.389547628e-02
