longitude_deg,latitude_deg,radius_m,Br,Btheta,Bphi,Btot
-5.000000,-5.000000,1737400.000,-2.201570100e-03,-1.536515500e-02,4.569180500e-02,4.825635651e-02
-5.000000,-4.900000,1737400.000,-2.242344400e-03,-1.488974700e-02,4.708771100e-02,4.943667870e-02
-5.000000,-4.800000,1737400.000,-2.283218900e-03,-1.435096000e-02,4.850516800e-02,5.063511098e-02
-5.000000,-4.700000,1737400.000,-2.324015600e-03,-1.374459600e-02,4.994167300e-02,5.185060916e-02
-5.000000,-4.600000,1737400.000,-2.364530500e-03,-1.306652200e-02,5.139420300e-02,5.308190938e-02
-5.000000,-4.500000,1737400.000,-2.404756000e-03,-1.231227900e-02,5.285929400e-02,5.432752551e-02
-5.000000,-4.400000,1737400.000,-2.444511100e-03,-1.147756300e-02,5.433304400e-02,5.558587732e-02
-5.000000,-4.300000,1737400.000,-2.483632500e-03,-1.055783200e-02,5.581096300e-02,5.685507750e-02
-5.000000,-4.200000,1737400.000,-2.521958400e-03,-9.548726700e-03,5.728818300e-02,5.813324666e-02
-5.000000,-4.100000,1737400.000,-2.559295100e-03,-8.445838600e-03,5.875907600e-02,5.941810493e-02
-5.000000,-4.000000,1737400.000,-2.595436900e-03,-7.244785300e-03,6.021751600e-02,6.070726843e-02
-5.000000,-3.900000,1737400.000,-2.630172000e-03,-5.941488500e-03,6.165677100e-02,6.199819756e-02
-5.000000,-3.800000,1737400.000,-2.663205500e-03,-4.531895500e-03,6.306936700e-02,6.328803832e-02
-5.000000,-3.700000,1737400.000,-2.694382500e-03,-3.012290400e-03,6.444714900e-02,6.457374548e-02
-5.000000,-3.600000,1737400.000,-2.723334800e-03,-1.379309800e-03,6.578137600e-02,6.585217139e-02
-5.000000,-3.500000,1737400.000,-2.749826100e-03,3.700335200e-04,6.706261800e-02,6.711999107e-02
-5.000000,-3.400000,1737400.000,-2.773601000e-03,2.238235300e-03,6.828053100e-02,6.837348516e-02
-5.000000,-3.300000,1737400.000,-2.794178100e-03,4.227134200e-03,6.942447800e-02,6.960915342e-02
-5.000000,-3.200000,1737400.000,-2.811443600e-03,6.337930900e-03,7.048272500e-02,7.082293489e-02
-5.000000,-3.100000,1737400.000,-2.824880700e-03,8.571014300e-03,7.144333600e-02,7.201105815e-02
-5.000000,-3.000000,1737400.000,-2.834120000e-03,1.092598500e-02,7.229359700e-02,7.316948511e-02
-5.000000,-2.900000,1737400.000,-2.838913800e-03,1.340123500e-02,7.302026000e-02,7.429408389e-02
-5.000000,-2.800000,1737400.000,-2.838820000e-03,1.599431300e-02,7.360983800e-02,7.538093391e-02
-5.000000,-2.700000,1737400.000,-2.833404700e-03,1.870127500e-02,7.404852200e-02,7.642610470e-02
-5.000000,-2.600000,1737400.000,-2.822410900e-03,2.151711800e-02,7.432226200e-02,7.742577736e-02
-5.000000,-2.500000,1737400.000,-2.805330800e-03,2.443534700e-02,7.441705000e-02,7.837635737e-02
-5.000000,-2.400000,1737400.000,-2.781853600e-03,2.744806300e-02,7.431888500e-02,7.927440659e-02
-5.000000,-2.300000,1737400.000,-2.751630700e-03,3.054568500e-02,7.401425300e-02,8.011691451e-02
-5.000000,-2.200000,1737400.000,-2.714325600e-03,3.371736300e-02,7.349013600e-02,8.090134869e-02
