longitude_deg,latitude_deg,radius_m,Br
-5.000000,-5.000000,1737400.000,-2.201570100e-03
-5.000000,-4.900000,1737400.000,-2.242344400e-03
-5.000000,-4.800000,1737400.000,-2.283218900e-03
-5.000000,-4.700000,1737400.000,-2.324015600e-03
-5.000000,-4.600000,1737400.000,-2.364530500e-03
-5.000000,-4.500000,1737400.000,-2.404756000e-03
-5.000000,-4.400000,1737400.000,-2.444511100e-03
-5.000000,-4.300000,1737400.000,-2.483632500e-03
-5.000000,-4.200000,1737400.000,-2.521958400e-03
-5.000000,-4.100000,1737400.000,-2.559295100e-03
-5.000000,-4.000000,1737400.000,-2.595436900e-03
-5.000000,-3.900000,1737400.000,-2.630172000e-03
-5.000000,-3.800000,1737400.000,-2.663205500e-03
-5.000000,-3.700000,1737400.000,-2.694382500e-03
-5.000000,-3.600000,1737400.000,-2.723334800e-03
-5.000000,-3.500000,1737400.000,-2.749826100e-03
-5.000000,-3.400000,1737400.000,-2.773601000e-03
-5.000000,-3.300000,1737400.000,-2.794178100e-03
-5.000000,-3.200000,1737400.000,-2.811443600e-03
-5.000000,-3.100000,1737400.000,-2.824880700e-03
-5.000000,-3.000000,1737400.000,-2.834120000e-03
-5.000000,-2.900000,1737400.000,-2.838913800e-03
-5.000000,-2.800000,1737400.000,-2.838820000e-03
-5.000000,-2.700000,1737400.000,-2.833404700e-03
-5.000000,-2.600000,1737400.000,-2.822410900e-03
-5.000000,-2.500000,1737400.000,-2.805330800e-03
-5.000000,-2.400000,1737400.000,-2.781853600e-03
-5.000000,-2.300000,1737400.000,-2.751630700e-03
-5.000000,-2.200000,1737400.000,-2.714325600e-03
-5.000000,-2.100000,1737400.000,-2.669555400e-03
-5.000000,-2.000000,1737400.000,-2.617176700e-03
-5.000000,-1.900000,1737400.000,-2.556804000e-03
-5.000000,-1.800000,1737400.000,-2.488301800e-03
-5.000000,-1.700000,1737400.000,-2.411592000e-03
-5.000000,-1.600000,1737400.000,-2.326390800e-03
-5.000000,-1.500000,1737400.000,-2.232811800e-03
-5.000000,-1.400000,1737400.000,-2.130799200e-03
-5.000000,-1.300000,1737400.000,-2.020539100e-03
-5.000000,-1.200000,1737400.000,-1.902060400e-03
-5.000000,-1.100000,1737400.000,-1.775725000e-03
-5.000000,-1.000000,1737400.000,-1.641879500e-03
-5.000000,-0.900000,1737400.000,-1.500759600e-03
-5.000000,-0.800000,1737400.000,-1.352973800e-03
-5.000000,-0.700000,1737400.000,-1.198995600e-03
-5.000000,-0.600000,1737400.000,-1.039430200e-03
-5.000000,-0.500000,1737400.000,-8.749665800e-04
-5.000000,-0.400000,1737400.000,-7.063048400e-04
-5.000000,-0.300000,1737400.000,-5.342349500e-04
-5.000000,-0.200000,1737400.000,-3.596079800e-04
-5.000000,-0.100000,1737400.000,-1.832066000e-04
-5.000000,0.000000,1737400.000,-5.923518400e-06
-5.000000,0.100000,1737400.000,1.713573500e-04
-5.000000,0.200000,1737400.000,3.477775200e-04
-5.000000,0.300000,1737400.000,5.224600100e-04
-5.000000,0.400000,1737400.000,6.945808900e-04
-5.000000,0.500000,1737400.000,8.633252800e-04
-5.000000,0.600000,1737400.000,1.027888200e-03
-5.000000,0.700000,1737400.000,1.187563800e-03
-5.000000,0.800000,1737400.000,1.341668100e-03
-5.000000,0.900000,1737400.000,1.489605900e-03
-5.000000,1.000000,1737400.000,1.630883800e-03
-5.000000,1.100000,1737400.000,1.764893900e-03
-5.000000,1.200000,1737400.000,1.891416900e-03
-5.000000,1.300000,1737400.000,2.010095000e-03
-5.000000,1.400000,1737400.000,2.120567700e-03
-5.000000,1.500000,1737400.000,2.222801200e-03
-5.000000,1.600000,1737400.000,2.316609800e-03
-5.000000,1.700000,1737400.000,2.402060800e-03
-5.000000,1.800000,1737400.000,2.479019300e-03
-5.000000,1.900000,1737400.000,2.547768700e-03
-5.000000,2.000000,1737400.000,2.608402100e-03
-5.000000,2.100000,1737400.000,2.661048600e-03
-5.000000,2.200000,1737400.000,2.706097200e-03
-5.000000,2.300000,1737400.000,2.743663300e-03
-5.000000,2.400000,1737400.000,2.774157800e-03
-5.000000,2.500000,1737400.000,2.797911400e-03
-5.000000,2.600000,1737400.000,2.815265500e-03
-5.000000,2.700000,1737400.000,2.826519000e-03
-5.000000,2.800000,1737400.000,2.832206100e-03
-5.000000,2.900000,1737400.000,2.832555200e-03
-5.000000,3.000000,1737400.000,2.828012500e-03
-5.000000,3.100000,1737400.000,2.819028600e-03
-5.000000,3.200000,1737400.000,2.805838600e-03
-5.000000,3.300000,1737400.000,2.788813200e-03
-5.000000,3.400000,1737400.000,2.768470000e-03
-5.000000,3.500000,1737400.000,2.744919900e-03
-5.000000,3.600000,1737400.000,2.718653600e-03
-5.000000,3.700000,1737400.000,2.689922900e-03
-5.000000,3.800000,1737400.000,2.658934900e-03
-5.000000,3.900000,1737400.000,2.626109800e-03
-5.000000,4.000000,1737400.000,2.591567300e-03
-5.000000,4.100000,1737400.000,2.555603100e-03
-5.000000,4.200000,1737400.000,2.518443900e-03
-5.000000,4.300000,1737400.000,2.480291200e-03
-5.000000,4.400000,1737400.000,2.441323700e-03
-5.000000,4.500000,1737400.000,2.401725300e-03
-5.000000,4.600000,1737400.000,2.361644900e-03
-5.000000,4.700000,1737400.000,2.321275300e-03
-5.000000,4.800000,1737400.000,2.280608800e-03
-5.000000,4.900000,1737400.000,2.239862000e-03
-5.000000,5.000000,1737400.000,2.199215900e-03
-4.899994,-5.000000,1737400.000,-2.288124100e-03
-4.899994,-4.900000,1737400.000,-2.332614200e-03
-4.899994,-4.800000,1737400.000,-2.377343100e-03
-4.899994,-4.700000,1737400.000,-2.422126700e-03
-4.899994,-4.600000,1737400.000,-2.466794100e-03
-4.899994,-4.500000,1737400.000,-2.511258700e-03
-4.899994,-4.400000,1737400.000,-2.555372300e-03
-4.899994,-4.300000,1737400.000,-2.598968200e-03
-4.899994,-4.200000,1737400.000,-2.641920200e-03
-4.899994,-4.100000,1737400.000,-2.683932000e-03
-4.899994,-4.000000,1737400.000,-2.724892600e-03
-4.899994,-3.900000,1737400.000,-2.764448900e-03
-4.899994,-3.800000,1737400.000,-2.802357500e-03
-4.899994,-3.700000,1737400.000,-2.838448600e-03
-4.899994,-3.600000,1737400.000,-2.872377800e-03
-4.899994,-3.500000,1737400.000,-2.903776600e-03
-4.899994,-3.400000,1737400.000,-2.932417200e-03
-4.899994,-3.300000,1737400.000,-2.957822900e-03
-4.899994,-3.200000,1737400.000,-2.979758300e-03
-4.899994,-3.100000,1737400.000,-2.997704600e-03
-4.899994,-3.000000,1737400.000,-3.011245700e-03
-4.899994,-2.900000,1737400.000,-3.020109200e-03
-4.899994,-2.800000,1737400.000,-3.023793300e-03
-4.899994,-2.700000,1737400.000,-3.021867700e-03
-4.899994,-2.600000,1737400.000,-3.013895500e-03
-4.899994,-2.500000,1737400.000,-2.999367700e-03
-4.899994,-2.400000,1737400.000,-2.977929500e-03
-4.899994,-2.300000,1737400.000,-2.949168900e-03
-4.899994,-2.200000,1737400.000,-2.912673700e-03
-4.899994,-2.100000,1737400.000,-2.868015200e-03
-4.899994,-2.000000,1737400.000,-2.814990500e-03
-4.899994,-1.900000,1737400.000,-2.753177600e-03
-4.899994,-1.800000,1737400.000,-2.682361300e-03
-4.899994,-1.700000,1737400.000,-2.602491600e-03
-4.899994,-1.600000,1737400.000,-2.513122500e-03
-4.899994,-1.500000,1737400.000,-2.414412100e-03
-4.899994,-1.400000,1737400.000,-2.306319800e-03
-4.899994,-1.300000,1737400.000,-2.188867400e-03
-4.899994,-1.200000,1737400.000,-2.062232700e-03
-4.899994,-1.100000,1737400.000,-1.926829300e-03
-4.899994,-1.000000,1737400.000,-1.782826200e-03
-4.899994,-0.900000,1737400.000,-1.630708200e-03
-4.899994,-0.800000,1737400.000,-1.470961200e-03
-4.899994,-0.700000,1737400.000,-1.304261200e-03
-4.899994,-0.600000,1737400.000,-1.131204800e-03
-4.899994,-0.500000,1737400.000,-9.525964800e-04
-4.899994,-0.400000,1737400.000,-7.692319100e-04
-4.899994,-0.300000,1737400.000,-5.819824000e-04
-4.899994,-0.200000,1737400.000,-3.917969700e-04
-4.899994,-0.100000,1737400.000,-1.996169200e-04
-4.899994,0.000000,1737400.000,-6.433708600e-06
-4.899994,0.100000,1737400.000,1.867661300e-04
-4.899994,0.200000,1737400.000,3.789755000e-04
-4.899994,0.300000,1737400.000,5.692135700e-04
-4.899994,0.400000,1737400.000,7.565298800e-04
-4.899994,0.500000,1737400.000,9.399838000e-04
-4.899994,0.600000,1737400.000,1.118699700e-03
-4.899994,0.700000,1737400.000,1.291870200e-03
-4.899994,0.800000,1737400.000,1.458722800e-03
-4.899994,0.900000,1737400.000,1.618626700e-03
-4.899994,1.000000,1737400.000,1.770912800e-03
-4.899994,1.100000,1737400.000,1.915106100e-03
-4.899994,1.200000,1737400.000,2.050723000e-03
-4.899994,1.300000,1737400.000,2.177581400e-03
-4.899994,1.400000,1737400.000,2.295279100e-03
-4.899994,1.500000,1737400.000,2.403614900e-03
-4.899994,1.600000,1737400.000,2.502577900e-03
-4.899994,1.700000,1737400.000,2.592230900e-03
-4.899994,1.800000,1737400.000,2.672369100e-03
-4.899994,1.900000,1737400.000,2.743453300e-03
-4.899994,2.000000,1737400.000,2.805583700e-03
-4.899994,2.100000,1737400.000,2.858889300e-03
-4.899994,2.200000,1737400.000,2.903844100e-03
-4.899994,2.300000,1737400.000,2.940641400e-03
-4.899994,2.400000,1737400.000,2.969695600e-03
-4.899994,2.500000,1737400.000,2.991431000e-03
-4.899994,2.600000,1737400.000,3.006254600e-03
-4.899994,2.700000,1737400.000,3.014530100e-03
-4.899994,2.800000,1737400.000,3.016749400e-03
-4.899994,2.900000,1737400.000,3.013342200e-03
-4.899994,3.000000,1737400.000,3.004760300e-03
-4.899994,3.100000,1737400.000,2.991498300e-03
-4.899994,3.200000,1737400.000,2.973831600e-03
-4.899994,3.300000,1737400.000,2.952142900e-03
-4.899994,3.400000,1737400.000,2.926989700e-03
-4.899994,3.500000,1737400.000,2.898599300e-03
-4.899994,3.600000,1737400.000,2.867450400e-03
-4.899994,3.700000,1737400.000,2.833759200e-03
-4.899994,3.800000,1737400.000,2.797882900e-03
-4.899994,3.900000,1737400.000,2.760187900e-03
-4.899994,4.000000,1737400.000,2.720827500e-03
-4.899994,4.100000,1737400.000,2.680072300e-03
-4.899994,4.200000,1737400.000,2.638244100e-03
-4.899994,4.300000,1737400.000,2.595470800e-03
-4.899994,4.400000,1737400.000,2.552050300e-03
-4.899994,4.500000,1737400.000,2.508098700e-03
-4.899994,4.600000,1737400.000,2.463794900e-03
-4.899994,4.700000,1737400.000,2.419276300e-03
-4.899994,4.800000,1737400.000,2.374636400e-03
-4.899994,4.900000,1737400.000,2.330044400e-03
-4.899994,5.000000,1737400.000,2.285686700e-03
-4.800003,-5.000000,1737400.000,-2.378326900e-03
-4.800003,-4.900000,1737400.000,-2.426866700e-03
-4.800003,-4.800000,1737400.000,-2.475810000e-03
-4.800003,-4.700000,1737400.000,-2.524910100e-03
-4.800003,-4.600000,1737400.000,-2.574045900e-03
-4.800003,-4.500000,1737400.000,-2.623128600e-03
-4.800003,-4.400000,1737400.000,-2.671998400e-03
-4.800003,-4.300000,1737400.000,-2.720549500e-03
-4.800003,-4.200000,1737400.000,-2.768534900e-03
-4.800003,-4.100000,1737400.000,-2.815699100e-03
-4.800003,-4.000000,1737400.000,-2.861932100e-03
-4.800003,-3.900000,1737400.000,-2.906851500e-03
-4.800003,-3.800000,1737400.000,-2.950248600e-03
-4.800003,-3.700000,1737400.000,-2.991837500e-03
-4.800003,-3.600000,1737400.000,-3.031296300e-03
-4.800003,-3.500000,1737400.000,-3.068280500e-03
-4.800003,-3.400000,1737400.000,-3.102367000e-03
-4.800003,-3.300000,1737400.000,-3.133211800e-03
-4.800003,-3.200000,1737400.000,-3.160567700e-03
-4.800003,-3.100000,1737400.000,-3.183707500e-03
-4.800003,-3.000000,1737400.000,-3.202252500e-03
-4.800003,-2.900000,1737400.000,-3.215950900e-03
-4.800003,-2.800000,1737400.000,-3.224096300e-03
-4.800003,-2.700000,1737400.000,-3.226275300e-03
-4.800003,-2.600000,1737400.000,-3.221979800e-03
-4.800003,-2.500000,1737400.000,-3.210625400e-03
-4.800003,-2.400000,1737400.000,-3.191805500e-03
-4.800003,-2.300000,1737400.000,-3.165105700e-03
-4.800003,-2.200000,1737400.000,-3.129901600e-03
-4.800003,-2.100000,1737400.000,-3.085759700e-03
-4.800003,-2.000000,1737400.000,-3.032410600e-03
-4.800003,-1.900000,1737400.000,-2.969353400e-03
-4.800003,-1.800000,1737400.000,-2.896412000e-03
-4.800003,-1.700000,1737400.000,-2.813279900e-03
-4.800003,-1.600000,1737400.000,-2.719675800e-03
-4.800003,-1.500000,1737400.000,-2.615509400e-03
-4.800003,-1.400000,1737400.000,-2.500889300e-03
-4.800003,-1.300000,1737400.000,-2.375833700e-03
-4.800003,-1.200000,1737400.000,-2.240371000e-03
-4.800003,-1.100000,1737400.000,-2.094992900e-03
-4.800003,-1.000000,1737400.000,-1.939909700e-03
-4.800003,-0.900000,1737400.000,-1.775642900e-03
-4.800003,-0.800000,1737400.000,-1.602715900e-03
-4.800003,-0.700000,1737400.000,-1.421878600e-03
-4.800003,-0.600000,1737400.000,-1.233823900e-03
-4.800003,-0.500000,1737400.000,-1.039435700e-03
-4.800003,-0.400000,1737400.000,-8.396483900e-04
-4.800003,-0.300000,1737400.000,-6.354220500e-04
-4.800003,-0.200000,1737400.000,-4.278424200e-04
-4.800003,-0.100000,1737400.000,-2.179900600e-04
