longitude_deg,latitude_deg,radius_m,Br
-6.000000,-6.000000,1737400.000,-1.333506900e-03
-6.000000,-5.850000,1737400.000,-1.361078200e-03
-6.000000,-5.700000,1737400.000,-1.388431800e-03
-6.000000,-5.550000,1737400.000,-1.415525000e-03
-6.000000,-5.400000,1737400.000,-1.442155900e-03
-6.000000,-5.250000,1737400.000,-1.468172300e-03
-6.000000,-5.100000,1737400.000,-1.493402000e-03
-6.000000,-4.950000,1737400.000,-1.517657600e-03
-6.000000,-4.800000,1737400.000,-1.540727100e-03
-6.000000,-4.650000,1737400.000,-1.562349200e-03
-6.000000,-4.500000,1737400.000,-1.582262100e-03
-6.000000,-4.350000,1737400.000,-1.600217900e-03
-6.000000,-4.200000,1737400.000,-1.615877700e-03
-6.000000,-4.050000,1737400.000,-1.628996000e-03
-6.000000,-3.900000,1737400.000,-1.639171400e-03
-6.000000,-3.750000,1737400.000,-1.646041700e-03
-6.000000,-3.600000,1737400.000,-1.649257400e-03
-6.000000,-3.450000,1737400.000,-1.648475700e-03
-6.000000,-3.300000,1737400.000,-1.643198200e-03
-6.000000,-3.150000,1737400.000,-1.633162100e-03
-6.000000,-3.000000,1737400.000,-1.617907300e-03
-6.000000,-2.850000,1737400.000,-1.597130400e-03
-6.000000,-2.700000,1737400.000,-1.570384200e-03
-6.000000,-2.550000,1737400.000,-1.537370100e-03
-6.000000,-2.400000,1737400.000,-1.497827600e-03
-6.000000,-2.250000,1737400.000,-1.451474200e-03
-6.000000,-2.100000,1737400.000,-1.398119800e-03
-6.000000,-1.950000,1737400.000,-1.337671500e-03
-6.000000,-1.800000,1737400.000,-1.270039500e-03
-6.000000,-1.650000,1737400.000,-1.195285800e-03
-6.000000,-1.500000,1737400.000,-1.113477900e-03
-6.000000,-1.350000,1737400.000,-1.024886000e-03
-6.000000,-1.200000,1737400.000,-9.297940400e-04
-6.000000,-1.050000,1737400.000,-8.286097800e-04
-6.000000,-0.900000,1737400.000,-7.218187700e-04
-6.000000,-0.750000,1737400.000,-6.101022200e-04
-6.000000,-0.600000,1737400.000,-4.940206000e-04
-6.000000,-0.450000,1737400.000,-3.744290000e-04
-6.000000,-0.300000,1737400.000,-2.521103800e-04
-6.000000,-0.150000,1737400.000,-1.279489100e-04
-6.000000,0.000000,1737400.000,-2.846535700e-06
-6.000000,0.150000,1737400.000,1.222514300e-04
-6.000000,0.300000,1737400.000,2.464261300e-04
-6.000000,0.450000,1737400.000,3.687890300e-04
-6.000000,0.600000,1737400.000,4.884385100e-04
-6.000000,0.750000,1737400.000,6.045827500e-04
-6.000000,0.900000,1737400.000,7.163936400e-04
-6.000000,1.050000,1737400.000,8.232641200e-04
-6.000000,1.200000,1737400.000,9.245479400e-04
-6.000000,1.350000,1737400.000,1.019759800e-03
-6.000000,1.500000,1737400.000,1.108488200e-03
-6.000000,1.650000,1737400.000,1.190414500e-03
