longitude_deg,latitude_deg,radius_m,Br,Btheta,Bphi,Btot
-5.000000,-5.000000,1737400.000,-5.503925100e-04,-3.841288500e-03,1.142295100e-02,1.206408881e-02
-5.000000,-4.900000,1737400.000,-5.605861300e-04,-3.722436800e-03,1.177192800e-02,1.235916993e-02
-5.000000,-4.800000,1737400.000,-5.708047400e-04,-3.587740000e-03,1.212629200e-02,1.265877775e-02
-5.000000,-4.700000,1737400.000,-5.810039000e-04,-3.436149100e-03,1.248541800e-02,1.296265207e-02
-5.000000,-4.600000,1737400.000,-5.911326500e-04,-3.266630400e-03,1.284855100e-02,1.327047756e-02
-5.000000,-4.500000,1737400.000,-6.011889700e-04,-3.078069600e-03,1.321482300e-02,1.358188086e-02
-5.000000,-4.400000,1737400.000,-6.111278100e-04,-2.869390800e-03,1.358326100e-02,1.389646934e-02
-5.000000,-4.300000,1737400.000,-6.209080900e-04,-2.639457900e-03,1.395274000e-02,1.421376862e-02
-5.000000,-4.200000,1737400.000,-6.304896600e-04,-2.387181700e-03,1.432204600e-02,1.453331192e-02
-5.000000,-4.100000,1737400.000,-6.398237600e-04,-2.111459600e-03,1.468976900e-02,1.485452622e-02
-5.000000,-4.000000,1737400.000,-6.488592200e-04,-1.811196400e-03,1.505437900e-02,1.517681712e-02
-5.000000,-3.900000,1737400.000,-6.575430200e-04,-1.485372100e-03,1.541419300e-02,1.549954964e-02
-5.000000,-3.800000,1737400.000,-6.658014100e-04,-1.132973800e-03,1.576734200e-02,1.582200982e-02
-5.000000,-3.700000,1737400.000,-6.735956600e-04,-7.530726000e-04,1.611178700e-02,1.614343612e-02
-5.000000,-3.600000,1737400.000,-6.808337000e-04,-3.448274600e-04,1.644534400e-02,1.646304285e-02
-5.000000,-3.500000,1737400.000,-6.874564900e-04,9.250837800e-05,1.676565400e-02,1.677999727e-02
-5.000000,-3.400000,1737400.000,-6.934002000e-04,5.595588300e-04,1.707013200e-02,1.709337054e-02
-5.000000,-3.300000,1737400.000,-6.985444900e-04,1.056783600e-03,1.735611900e-02,1.740228786e-02
-5.000000,-3.200000,1737400.000,-7.028609300e-04,1.584482700e-03,1.762068100e-02,1.770573347e-02
-5.000000,-3.100000,1737400.000,-7.062201400e-04,2.142753600e-03,1.786083300e-02,1.800276355e-02
-5.000000,-3.000000,1737400.000,-7.085300300e-04,2.731496200e-03,1.807340000e-02,1.829237201e-02
-5.000000,-2.900000,1737400.000,-7.097284600e-04,3.350308900e-03,1.825506500e-02,1.857352100e-02
-5.000000,-2.800000,1737400.000,-7.097050100e-04,3.998578300e-03,1.840246000e-02,1.884523398e-02
-5.000000,-2.700000,1737400.000,-7.083511400e-04,4.675318900e-03,1.851213000e-02,1.910652573e-02
-5.000000,-2.600000,1737400.000,-7.056027900e-04,5.379279600e-03,1.858056600e-02,1.935644485e-02
-5.000000,-2.500000,1737400.000,-7.013327500e-04,6.108836900e-03,1.860426300e-02,1.959408987e-02
-5.000000,-2.400000,1737400.000,-6.954633800e-04,6.862015500e-03,1.857972100e-02,1.981860132e-02
-5.000000,-2.300000,1737400.000,-6.879076000e-04,7.636421200e-03,1.850356300e-02,2.002922838e-02
