longitude_deg,latitude_deg,radius_m,Bx,By,Bz,Btot
-5.000000,-5.000000,1737400.000,7.828805200e-04,1.139809200e-02,3.874641100e-03,1.206408914e-02
-5.000000,-4.900000,1737400.000,7.863283400e-04,1.174810000e-02,3.756715900e-03,1.235916988e-02
-5.000000,-4.800000,1737400.000,7.893095600e-04,1.210355700e-02,3.622921000e-03,1.265877791e-02
-5.000000,-4.700000,1737400.000,7.918106900e-04,1.246383600e-02,3.472201300e-03,1.296265227e-02
-5.000000,-4.600000,1737400.000,7.938219900e-04,1.282818000e-02,3.303516400e-03,1.327047761e-02
-5.000000,-4.500000,1737400.000,7.952762500e-04,1.319572400e-02,3.115749700e-03,1.358188103e-02
-5.000000,-4.400000,1737400.000,7.961504200e-04,1.356549300e-02,2.907819100e-03,1.389646961e-02
-5.000000,-4.300000,1737400.000,7.964073400e-04,1.393636100e-02,2.678583100e-03,1.421376903e-02
-5.000000,-4.200000,1737400.000,7.960124600e-04,1.430711200e-02,2.426946800e-03,1.453331209e-02
-5.000000,-4.100000,1737400.000,7.949293900e-04,1.467633400e-02,2.151801700e-03,1.485452601e-02
-5.000000,-4.000000,1737400.000,7.931219300e-04,1.504249500e-02,1.852046500e-03,1.517681701e-02
-5.000000,-3.900000,1737400.000,7.905550300e-04,1.540390800e-02,1.526655400e-03,1.549954953e-02
-5.000000,-3.800000,1737400.000,7.872056400e-04,1.575869900e-02,1.174608200e-03,1.582200971e-02
-5.000000,-3.700000,1737400.000,7.830136500e-04,1.610482700e-02,7.949715900e-04,1.614343653e-02
-5.000000,-3.600000,1737400.000,7.779711200e-04,1.644009900e-02,3.868969200e-04,1.646304296e-02
-5.000000,-3.500000,1737400.000,7.720338800e-04,1.676215200e-02,-5.036761600e-05,1.677999740e-02
-5.000000,-3.400000,1737400.000,7.651551900e-04,1.706839500e-02,-5.174508600e-04,1.709337081e-02
-5.000000,-3.300000,1737400.000,7.573518100e-04,1.735615700e-02,-1.014820200e-03,1.740228800e-02
-5.000000,-3.200000,1737400.000,7.485373600e-04,1.762250100e-02,-1.542777400e-03,1.770573387e-02
-5.000000,-3.100000,1737400.000,7.387343200e-04,1.786442800e-02,-2.101426500e-03,1.800276394e-02
-5.000000,-3.000000,1737400.000,7.279225400e-04,1.807875200e-02,-2.690671200e-03,1.829237154e-02
-5.000000,-2.900000,1737400.000,7.160545200e-04,1.826215000e-02,-3.310111100e-03,1.857352127e-02
-5.000000,-2.800000,1737400.000,7.031334100e-04,1.841123800e-02,-3.959135600e-03,1.884523377e-02
