longitude_deg,latitude_deg,radius_m,Br
-5.000000,-5.000000,1737400.000,-5.503925100e-04
-5.000000,-4.900000,1737400.000,-5.605861300e-04
-5.000000,-4.800000,1737400.000,-5.708047400e-04
-5.000000,-4.700000,1737400.000,-5.810039000e-04
-5.000000,-4.600000,1737400.000,-5.911326500e-04
-5.000000,-4.500000,1737400.000,-6.011889700e-04
-5.000000,-4.400000,1737400.000,-6.111278100e-04
-5.000000,-4.300000,1737400.000,-6.209080900e-04
-5.000000,-4.200000,1737400.000,-6.304896600e-04
-5.000000,-4.100000,1737400.000,-6.398237600e-04
-5.000000,-4.000000,1737400.000,-6.488592200e-04
-5.000000,-3.900000,1737400.000,-6.575430200e-04
-5.000000,-3.800000,1737400.000,-6.658014100e-04
-5.000000,-3.700000,1737400.000,-6.735956600e-04
-5.000000,-3.600000,1737400.000,-6.808337000e-04
-5.000000,-3.500000,1737400.000,-6.874564900e-04
-5.000000,-3.400000,1737400.000,-6.934002000e-04
-5.000000,-3.300000,1737400.000,-6.985444900e-04
-5.000000,-3.200000,1737400.000,-7.028609300e-04
-5.000000,-3.100000,1737400.000,-7.062201400e-04
-5.000000,-3.000000,1737400.000,-7.085300300e-04
-5.000000,-2.900000,1737400.000,-7.097284600e-04
-5.000000,-2.800000,1737400.000,-7.097050100e-04
-5.000000,-2.700000,1737400.000,-7.083511400e-04
-5.000000,-2.600000,1737400.000,-7.056027900e-04
-5.000000,-2.500000,1737400.000,-7.013327500e-04
-5.000000,-2.400000,1737400.000,-6.954633800e-04
-5.000000,-2.300000,1737400.000,-6.879076000e-04
-5.000000,-2.200000,1737400.000,-6.785814300e-04
-5.000000,-2.100000,1737400.000,-6.673888600e-04
-5.000000,-2.000000,1737400.000,-6.542942000e-04
-5.000000,-1.900000,1737400.000,-6.392010300e-04
-5.000000,-1.800000,1737400.000,-6.220753800e-04
-5.000000,-1.700000,1737400.000,-6.028979700e-04
-5.000000,-1.600000,1737400.000,-5.815977100e-04
-5.000000,-1.500000,1737400.000,-5.582029300e-04
-5.000000,-1.400000,1737400.000,-5.326998200e-04
-5.000000,-1.300000,1737400.000,-5.051347300e-04
-5.000000,-1.200000,1737400.000,-4.755151000e-04
-5.000000,-1.100000,1737400.000,-4.439312500e-04
-5.000000,-1.000000,1737400.000,-4.104699200e-04
-5.000000,-0.900000,1737400.000,-3.751898500e-04
-5.000000,-0.800000,1737400.000,-3.382434500e-04
-5.000000,-0.700000,1737400.000,-2.997488900e-04
-5.000000,-0.600000,1737400.000,-2.598575600e-04
-5.000000,-0.500000,1737400.000,-2.187416400e-04
-5.000000,-0.400000,1737400.000,-1.765762000e-04
-5.000000,-0.300000,1737400.000,-1.335587200e-04
-5.000000,-0.200000,1737400.000,-8.990199400e-05
-5.000000,-0.100000,1737400.000,-4.580165300e-05
-5.000000,0.000000,1737400.000,-1.480879600e-06
-5.000000,0.100000,1737400.000,4.283933400e-05
-5.000000,0.200000,1737400.000,8.694437800e-05
-5.000000,0.300000,1737400.000,1.306149900e-04
-5.000000,0.400000,1737400.000,1.736452200e-04
-5.000000,0.500000,1737400.000,2.158313100e-04
-5.000000,0.600000,1737400.000,2.569720400e-04
-5.000000,0.700000,1737400.000,2.968909600e-04
-5.000000,0.800000,1737400.000,3.354170400e-04
-5.000000,0.900000,1737400.000,3.724014300e-04
-5.000000,1.000000,1737400.000,4.077209600e-04
-5.000000,1.100000,1737400.000,4.412234500e-04
-5.000000,1.200000,1737400.000,4.728542700e-04
-5.000000,1.300000,1737400.000,5.025237500e-04
-5.000000,1.400000,1737400.000,5.301419200e-04
-5.000000,1.500000,1737400.000,5.557003100e-04
-5.000000,1.600000,1737400.000,5.791524800e-04
-5.000000,1.700000,1737400.000,6.005151300e-04
-5.000000,1.800000,1737400.000,6.197548700e-04
-5.000000,1.900000,1737400.000,6.369421900e-04
-5.000000,2.000000,1737400.000,6.521005600e-04
-5.000000,2.100000,1737400.000,6.652621400e-04
-5.000000,2.200000,1737400.000,6.765243100e-04
-5.000000,2.300000,1737400.000,6.859158100e-04
-5.000000,2.400000,1737400.000,6.935394500e-04
-5.000000,2.500000,1737400.000,6.994778300e-04
-5.000000,2.600000,1737400.000,7.038163800e-04
-5.000000,2.700000,1737400.000,7.066297700e-04
-5.000000,2.800000,1737400.000,7.080515400e-04
-5.000000,2.900000,1737400.000,7.081388300e-04
-5.000000,3.000000,1737400.000,7.070031400e-04
-5.000000,3.100000,1737400.000,7.047571000e-04
-5.000000,3.200000,1737400.000,7.014596500e-04
-5.000000,3.300000,1737400.000,6.972033600e-04
-5.000000,3.400000,1737400.000,6.921175400e-04
-5.000000,3.500000,1737400.000,6.862299700e-04
-5.000000,3.600000,1737400.000,6.796633900e-04
-5.000000,3.700000,1737400.000,6.724807500e-04
-5.000000,3.800000,1737400.000,6.647337400e-04
-5.000000,3.900000,1737400.000,6.565274700e-04
-5.000000,4.000000,1737400.000,6.478918300e-04
-5.000000,4.100000,1737400.000,6.389007900e-04
-5.000000,4.200000,1737400.000,6.296109800e-04
-5.000000,4.300000,1737400.000,6.200727700e-04
-5.000000,4.400000,1737400.000,6.103309100e-04
-5.000000,4.500000,1737400.000,6.004313200e-04
-5.000000,4.600000,1737400.000,5.904112000e-04
-5.000000,4.700000,1737400.000,5.803188000e-04
-5.000000,4.800000,1737400.000,5.701521800e-04
-5.000000,4.900000,1737400.000,5.599654800e-04
-5.000000,5.000000,1737400.000,5.498039900e-04
-4.899994,-5.000000,1737400.000,-5.720310400e-04
