longitude_deg,latitude_deg,radius_m,Br
-60.000000,-35.000000,1737400.000,2.911610100e-02
-60.000000,-34.500000,1737400.000,2.926921600e-02
-60.000000,-34.000000,1737400.000,2.942064500e-02
-60.000000,-33.500000,1737400.000,2.957028700e-02
-60.000000,-33.000000,1737400.000,2.971797200e-02
-60.000000,-32.500000,1737400.000,2.986359200e-02
-60.000000,-32.000000,1737400.000,3.000711600e-02
-60.000000,-31.500000,1737400.000,3.014824000e-02
-60.000000,-31.000000,1737400.000,3.028692200e-02
-60.000000,-30.500000,1737400.000,3.042301100e-02
-60.000000,-30.000000,1737400.000,3.055642300e-02
-60.000000,-29.500000,1737400.000,3.068694000e-02
-60.000000,-29.000000,1737400.000,3.081450100e-02
-60.000000,-28.500000,1737400.000,3.093890600e-02
-60.000000,-28.000000,1737400.000,3.106013700e-02
-60.000000,-27.500000,1737400.000,3.117797200e-02
-60.000000,-27.000000,1737400.000,3.129231400e-02
-60.000000,-26.500000,1737400.000,3.140302600e-02
-60.000000,-26.000000,1737400.000,3.150996200e-02
-60.000000,-25.500000,1737400.000,3.161310200e-02
-60.000000,-25.000000,1737400.000,3.171226200e-02
-60.000000,-24.500000,1737400.000,3.180737900e-02
-60.000000,-24.000000,1737400.000,3.189822800e-02
-60.000000,-23.500000,1737400.000,3.198486200e-02
-60.000000,-23.000000,1737400.000,3.206711400e-02
-60.000000,-22.500000,1737400.000,3.214483200e-02
-60.000000,-22.000000,1737400.000,3.221812000e-02
-60.000000,-21.500000,1737400.000,3.228667000e-02
-60.000000,-21.000000,1737400.000,3.235057800e-02
-60.000000,-20.500000,1737400.000,3.240974000e-02
-60.000000,-20.000000,1737400.000,3.246406000e-02
-60.000000,-19.500000,1737400.000,3.251356000e-02
-60.000000,-19.000000,1737400.000,3.255806300e-02
-60.000000,-18.500000,1737400.000,3.259778900e-02
-60.000000,-18.000000,1737400.000,3.263243600e-02
-60.000000,-17.500000,1737400.000,3.266213300e-02
-60.000000,-17.000000,1737400.000,3.268678900e-02
-60.000000,-16.500000,1737400.000,3.270645800e-02
-60.000000,-16.000000,1737400.000,3.272113700e-02
-60.000000,-15.500000,1737400.000,3.273084900e-02
-60.000000,-15.000000,1737400.000,3.273554900e-02
-60.000000,-14.500000,1737400.000,3.273532400e-02
-60.000000,-14.000000,1737400.000,3.273025600e-02
-60.000000,-13.500000,1737400.000,3.272014800e-02
-60.000000,-13.000000,1737400.000,3.270540400e-02
-60.000000,-12.500000,1737400.000,3.268580500e-02
-60.000000,-12.000000,1737400.000,3.266148500e-02
-60.000000,-11.500000,1737400.000,3.263256800e-02
-60.000000,-11.000000,1737400.000,3.259900500e-02
-60.000000,-10.500000,1737400.000,3.256097600e-02
-60.000000,-10.000000,1737400.000,3.251858900e-02
-60.000000,-9.500000,1737400.000,3.247182600e-02
-60.000000,-9.000000,1737400.000,3.242077800e-02
-60.000000,-8.500000,1737400.000,3.236565400e-02
-60.000000,-8.000000,1737400.000,3.230650500e-02
-60.000000,-7.500000,1737400.000,3.224332700e-02
-60.000000,-7.000000,1737400.000,3.217632700e-02
-60.000000,-6.500000,1737400.000,3.210560400e-02
-60.000000,-6.000000,1737400.000,3.203134800e-02
-60.000000,-5.500000,1737400.000,3.195346900e-02
-60.000000,-5.000000,1737400.000,3.187221800e-02
-60.000000,-4.500000,1737400.000,3.178770900e-02
-60.000000,-4.000000,1737400.000,3.169997200e-02
-60.000000,-3.500000,1737400.000,3.160911000e-02
-60.000000,-3.000000,1737400.000,3.151547500e-02
-60.000000,-2.500000,1737400.000,3.141884200e-02
-60.000000,-2.000000,1737400.000,3.131960100e-02
-60.000000,-1.500000,1737400.000,3.121769800e-02
-60.000000,-1.000000,1737400.000,3.111333300e-02
-60.000000,-0.500000,1737400.000,3.100658400e-02
-60.000000,0.000000,1737400.000,3.089747500e-02
-60.000000,0.500000,1737400.000,3.078635400e-02
-60.000000,1.000000,1737400.000,3.067306200e-02
-60.000000,1.500000,1737400.000,3.055784200e-02
-60.000000,2.000000,1737400.000,3.044083500e-02
-60.000000,2.500000,1737400.000,3.032205100e-02
-60.000000,3.000000,1737400.000,3.020160100e-02
-60.000000,3.500000,1737400.000,3.007970200e-02
-60.000000,4.000000,1737400.000,2.995632800e-02
-60.000000,4.500000,1737400.000,2.983156500e-02
-60.000000,5.000000,1737400.000,2.970553000e-02
-60.000000,5.500000,1737400.000,2.957832800e-02
-60.000000,6.000000,1737400.000,2.945005200e-02
-60.000000,6.500000,1737400.000,2.932079000e-02
-60.000000,7.000000,1737400.000,2.919057200e-02
-60.000000,7.500000,1737400.000,2.905958800e-02
-60.000000,8.000000,1737400.000,2.892782900e-02
