longitude_deg,latitude_deg,radius_m,Bx,By,Bz,Btot
-60.000000,-35.000000,1737400.000,-3.452509600e-02,-3.185817600e-02,-3.601325700e-02,5.919358337e-02
-60.000000,-34.500000,1737400.000,-3.481840000e-02,-3.263587100e-02,-3.588221200e-02,5.970723735e-02
-60.000000,-34.000000,1737400.000,-3.510960200e-02,-3.341790300e-02,-3.573232500e-02,6.021826503e-02
-60.000000,-33.500000,1737400.000,-3.539849100e-02,-3.420364100e-02,-3.556333500e-02,6.072637828e-02
-60.000000,-33.000000,1737400.000,-3.568467100e-02,-3.499249700e-02,-3.537464500e-02,6.123100603e-02
-60.000000,-32.500000,1737400.000,-3.596799400e-02,-3.578387200e-02,-3.516596200e-02,6.173189590e-02
-60.000000,-32.000000,1737400.000,-3.624795400e-02,-3.657702000e-02,-3.493705000e-02,6.222853063e-02
-60.000000,-31.500000,1737400.000,-3.652443400e-02,-3.737131500e-02,-3.468729200e-02,6.272047266e-02
-60.000000,-31.000000,1737400.000,-3.679698300e-02,-3.816595700e-02,-3.441653000e-02,6.320724459e-02
-60.000000,-30.500000,1737400.000,-3.706531200e-02,-3.896020000e-02,-3.412445300e-02,6.368840421e-02
-60.000000,-30.000000,1737400.000,-3.732916300e-02,-3.975338900e-02,-3.381076500e-02,6.416358919e-02
-60.000000,-29.500000,1737400.000,-3.758801500e-02,-4.054449500e-02,-3.347523100e-02,6.463208210e-02
-60.000000,-29.000000,1737400.000,-3.784174500e-02,-4.133288600e-02,-3.311767800e-02,6.509366886e-02
-60.000000,-28.500000,1737400.000,-3.809000600e-02,-4.211761100e-02,-3.273794100e-02,6.554780312e-02
-60.000000,-28.000000,1737400.000,-3.833231300e-02,-4.289786900e-02,-3.233588100e-02,6.599395870e-02
-60.000000,-27.500000,1737400.000,-3.856839200e-02,-4.367266600e-02,-3.191143300e-02,6.643163533e-02
-60.000000,-27.000000,1737400.000,-3.879792200e-02,-4.444115600e-02,-3.146452500e-02,6.686038761e-02
-60.000000,-26.500000,1737400.000,-3.902057200e-02,-4.520240400e-02,-3.099514400e-02,6.727972442e-02
