longitude_deg,latitude_deg,radius_m,Br,Btheta,Bphi,Btot
-60.000000,-35.000000,1737400.000,2.911610100e-02,2.357675600e-02,-4.582869800e-02,5.919358345e-02
-60.000000,-34.500000,1737400.000,2.926921600e-02,2.342353100e-02,-4.647155400e-02,5.970723692e-02
-60.000000,-34.000000,1737400.000,2.942064500e-02,2.325649600e-02,-4.711475900e-02,6.021826529e-02
-60.000000,-33.500000,1737400.000,2.957028700e-02,2.307558100e-02,-4.775781300e-02,6.072637824e-02
-60.000000,-33.000000,1737400.000,2.971797200e-02,2.288035200e-02,-4.840008000e-02,6.123100613e-02
-60.000000,-32.500000,1737400.000,2.986359200e-02,2.267069000e-02,-4.904113300e-02,6.173189644e-02
-60.000000,-32.000000,1737400.000,3.000711600e-02,2.244648800e-02,-4.968015900e-02,6.222853069e-02
-60.000000,-31.500000,1737400.000,3.014824000e-02,2.220735100e-02,-5.031674500e-02,6.272047226e-02
-60.000000,-31.000000,1737400.000,3.028692200e-02,2.195325500e-02,-5.095010100e-02,6.320724516e-02
-60.000000,-30.500000,1737400.000,3.042301100e-02,2.168404800e-02,-5.157960200e-02,6.368840458e-02
-60.000000,-30.000000,1737400.000,3.055642300e-02,2.139955000e-02,-5.220469800e-02,6.416358952e-02
-60.000000,-29.500000,1737400.000,3.068694000e-02,2.109971700e-02,-5.282442300e-02,6.463208189e-02
-60.000000,-29.000000,1737400.000,3.081450100e-02,2.078447500e-02,-5.343835500e-02,6.509366834e-02
-60.000000,-28.500000,1737400.000,3.093890600e-02,2.045382500e-02,-5.404571800e-02,6.554780313e-02
-60.000000,-28.000000,1737400.000,3.106013700e-02,2.010768300e-02,-5.464569100e-02,6.599395859e-02
-60.000000,-27.500000,1737400.000,3.117797200e-02,1.974614900e-02,-5.523754000e-02,6.643163526e-02
-60.000000,-27.000000,1737400.000,3.129231400e-02,1.936923100e-02,-5.582056400e-02,6.686038730e-02
-60.000000,-26.500000,1737400.000,3.140302600e-02,1.897701500e-02,-5.639400900e-02,6.727972496e-02
-60.000000,-26.000000,1737400.000,3.150996200e-02,1.856964000e-02,-5.695709100e-02,6.768913835e-02
-60.000000,-25.500000,1737400.000,3.161310200e-02,1.814731300e-02,-5.750909700e-02,6.808824733e-02
-60.000000,-25.000000,1737400.000,3.171226200e-02,1.771013400e-02,-5.804923600e-02,6.847649383e-02
-60.000000,-24.500000,1737400.000,3.180737900e-02,1.725837500e-02,-5.857683400e-02,6.885351369e-02
-60.000000,-24.000000,1737400.000,3.189822800e-02,1.679234700e-02,-5.909097100e-02,6.921865876e-02
-60.000000,-23.500000,1737400.000,3.198486200e-02,1.631227400e-02,-5.959108900e-02,6.957168654e-02
-60.000000,-23.000000,1737400.000,3.206711400e-02,1.581849800e-02,-6.007639900e-02,6.991207618e-02
-60.000000,-22.500000,1737400.000,3.214483200e-02,1.531147900e-02,-6.054605000e-02,7.023927522e-02
-60.000000,-22.000000,1737400.000,3.221812000e-02,1.479152100e-02,-6.099958000e-02,7.055313678e-02
-60.000000,-21.500000,1737400.000,3.228667000e-02,1.425913900e-02,-6.143620600e-02,7.085308400e-02
-60.000000,-21.000000,1737400.000,3.235057800e-02,1.371475500e-02,-6.185523400e-02,7.113876844e-02
-60.000000,-20.500000,1737400.000,3.240974000e-02,1.315894800e-02,-6.225608300e-02,7.140986647e-02
-60.000000,-20.000000,1737400.000,3.246406000e-02,1.259222100e-02,-6.263820000e-02,7.166605417e-02
-60.000000,-19.500000,1737400.000,3.251356000e-02,1.201518700e-02,-6.300094800e-02,7.190699376e-02
-60.000000,-19.000000,1737400.000,3.255806300e-02,1.142840100e-02,-6.334379300e-02,7.213232235e-02
-60.000000,-18.500000,1737400.000,3.259778900e-02,1.083249500e-02,-6.366617100e-02,7.234182833e-02
-60.000000,-18.000000,1737400.000,3.263243600e-02,1.022818500e-02,-6.396790800e-02,7.253540447e-02
-60.000000,-17.500000,1737400.000,3.266213300e-02,9.616104800e-03,-6.424822500e-02,7.271257676e-02
-60.000000,-17.000000,1737400.000,3.268678900e-02,8.996987500e-03,-6.450696400e-02,7.287331723e-02
-60.000000,-16.500000,1737400.000,3.270645800e-02,8.371539200e-03,-6.474365900e-02,7.301737084e-02
-60.000000,-16.000000,1737400.000,3.272113700e-02,7.740495900e-03,-6.495808000e-02,7.314465285e-02
-60.000000,-15.500000,1737400.000,3.273084900e-02,7.104627100e-03,-6.514992200e-02,7.325501033e-02
-60.000000,-15.000000,1737400.000,3.273554900e-02,6.464659300e-03,-6.531901800e-02,7.334836127e-02
-60.000000,-14.500000,1737400.000,3.273532400e-02,5.821382200e-03,-6.546523600e-02,7.342470329e-02
-60.000000,-14.000000,1737400.000,3.273025600e-02,5.175572000e-03,-6.558860600e-02,7.348415775e-02
-60.000000,-13.500000,1737400.000,3.272014800e-02,4.528033100e-03,-6.568853600e-02,7.352615134e-02
-60.000000,-13.000000,1737400.000,3.270540400e-02,3.879484900e-03,-6.576560000e-02,7.355139698e-02
-60.000000,-12.500000,1737400.000,3.268580500e-02,3.230744600e-03,-6.581953300e-02,7.355957099e-02
-60.000000,-12.000000,1737400.000,3.266148500e-02,2.582565300e-03,-6.585059300e-02,7.355095407e-02
-60.000000,-11.500000,1737400.000,3.263256800e-02,1.935710200e-03,-6.585864500e-02,7.352545538e-02
-60.000000,-11.000000,1737400.000,3.259900500e-02,1.290931900e-03,-6.584399300e-02,7.348328413e-02
-60.000000,-10.500000,1737400.000,3.256097600e-02,6.489413300e-04,-6.580681700e-02,7.342462425e-02
-60.000000,-10.000000,1737400.000,3.251858900e-02,1.047681800e-05,-6.574754500e-02,7.334983581e-02
-60.000000,-9.500000,1737400.000,3.247182600e-02,-6.237694400e-04,-6.566624900e-02,7.325888908e-02
-60.000000,-9.000000,1737400.000,3.242077800e-02,-1.253107300e-03,-6.556330700e-02,7.315206319e-02
-60.000000,-8.500000,1737400.000,3.236565400e-02,-1.876902200e-03,-6.543914100e-02,7.302971652e-02
-60.000000,-8.000000,1737400.000,3.230650500e-02,-2.494501300e-03,-6.529409600e-02,7.289205563e-02
-60.000000,-7.500000,1737400.000,3.224332700e-02,-3.105309300e-03,-6.512868800e-02,7.273940529e-02
-60.000000,-7.000000,1737400.000,3.217632700e-02,-3.708722400e-03,-6.494317400e-02,7.257194010e-02
-60.000000,-6.500000,1737400.000,3.210560400e-02,-4.304232100e-03,-6.473838700e-02,7.239029613e-02
-60.000000,-6.000000,1737400.000,3.203134800e-02,-4.891306700e-03,-6.451455800e-02,7.219460042e-02
-60.000000,-5.500000,1737400.000,3.195346900e-02,-5.469416500e-03,-6.427237800e-02,7.198525732e-02
-60.000000,-5.000000,1737400.000,3.187221800e-02,-6.038139500e-03,-6.401232600e-02,7.176263156e-02
-60.000000,-4.500000,1737400.000,3.178770900e-02,-6.597026800e-03,-6.373499800e-02,7.152712196e-02
-60.000000,-4.000000,1737400.000,3.169997200e-02,-7.145695000e-03,-6.344098900e-02,7.127908717e-02
-60.000000,-3.500000,1737400.000,3.160911000e-02,-7.683747800e-03,-6.313093000e-02,7.101894211e-02
-60.000000,-3.000000,1737400.000,3.151547500e-02,-8.210888900e-03,-6.280541200e-02,7.074718113e-02
-60.000000,-2.500000,1737400.000,3.141884200e-02,-8.726787800e-03,-6.246505600e-02,7.046405948e-02
-60.000000,-2.000000,1737400.000,3.131960100e-02,-9.231183700e-03,-6.211053200e-02,7.017015280e-02
-60.000000,-1.500000,1737400.000,3.121769800e-02,-9.723827800e-03,-6.174245600e-02,6.986578825e-02
-60.000000,-1.000000,1737400.000,3.111333300e-02,-1.020451300e-02,-6.136146600e-02,6.955142763e-02
-60.000000,-0.500000,1737400.000,3.100658400e-02,-1.067305600e-02,-6.096819100e-02,6.922747063e-02
-60.000000,0.000000,1737400.000,3.089747500e-02,-1.112931700e-02,-6.056333000e-02,6.889435825e-02
