longitude_deg,latitude_deg,radius_m,Br,Btheta,Bphi,Btot
-60.000000,-35.000000,1737400.000,5.823224000e-03,4.715343300e-03,-9.165737100e-03,1.183871348e-02
-60.000000,-34.500000,1737400.000,5.853843700e-03,4.684703200e-03,-9.294311100e-03,1.194144669e-02
-60.000000,-34.000000,1737400.000,5.884130000e-03,4.651306000e-03,-9.422950000e-03,1.204365476e-02
-60.000000,-33.500000,1737400.000,5.914057300e-03,4.615115700e-03,-9.551567000e-03,1.214527887e-02
-60.000000,-33.000000,1737400.000,5.943593500e-03,4.576076900e-03,-9.680019700e-03,1.224620614e-02
-60.000000,-32.500000,1737400.000,5.972729800e-03,4.534151300e-03,-9.808219400e-03,1.234638397e-02
-60.000000,-32.000000,1737400.000,6.001416000e-03,4.489298900e-03,-9.936027500e-03,1.244569970e-02
-60.000000,-31.500000,1737400.000,6.029646300e-03,4.441466200e-03,-1.006334700e-02,1.254409061e-02
-60.000000,-31.000000,1737400.000,6.057382800e-03,4.390651900e-03,-1.019002400e-02,1.264145164e-02
-60.000000,-30.500000,1737400.000,6.084600500e-03,4.336799200e-03,-1.031592400e-02,1.273767948e-02
-60.000000,-30.000000,1737400.000,6.111286800e-03,4.279908100e-03,-1.044093400e-02,1.283271376e-02
-60.000000,-29.500000,1737400.000,6.137382800e-03,4.219937600e-03,-1.056488900e-02,1.292641561e-02
-60.000000,-29.000000,1737400.000,6.162901600e-03,4.156892400e-03,-1.068767700e-02,1.301873843e-02
-60.000000,-28.500000,1737400.000,6.187789200e-03,4.090759200e-03,-1.080914500e-02,1.310956375e-02
-60.000000,-28.000000,1737400.000,6.212025400e-03,4.021527500e-03,-1.092913500e-02,1.319878536e-02
-60.000000,-27.500000,1737400.000,6.235600500e-03,3.949222800e-03,-1.104751600e-02,1.328633449e-02
-60.000000,-27.000000,1737400.000,6.258466900e-03,3.873842300e-03,-1.116411700e-02,1.337208176e-02
-60.000000,-26.500000,1737400.000,6.280597400e-03,3.795399500e-03,-1.127881000e-02,1.345594724e-02
