longitude_deg,latitude_deg,radius_m,Bx,By,Bz,Btot
-60.000000,-35.000000,1737400.000,-6.905013200e-03,-6.371640600e-03,-7.202647200e-03,1.183871352e-02
-60.000000,-34.500000,1737400.000,-6.963679100e-03,-6.527176100e-03,-7.176440200e-03,1.194144666e-02
-60.000000,-34.000000,1737400.000,-7.021920300e-03,-6.683577300e-03,-7.146471200e-03,1.204365480e-02
-60.000000,-33.500000,1737400.000,-7.079701900e-03,-6.840730600e-03,-7.112666500e-03,1.214527887e-02
-60.000000,-33.000000,1737400.000,-7.136939600e-03,-6.998497500e-03,-7.074934000e-03,1.224620616e-02
-60.000000,-32.500000,1737400.000,-7.193591400e-03,-7.156773000e-03,-7.033209800e-03,1.234638397e-02
-60.000000,-32.000000,1737400.000,-7.249590500e-03,-7.315395900e-03,-6.987407300e-03,1.244569967e-02
-60.000000,-31.500000,1737400.000,-7.304885000e-03,-7.474262700e-03,-6.937454000e-03,1.254409087e-02
-60.000000,-31.000000,1737400.000,-7.359401300e-03,-7.633192000e-03,-6.883306000e-03,1.264145202e-02
-60.000000,-30.500000,1737400.000,-7.413063200e-03,-7.792044900e-03,-6.824880800e-03,1.273767905e-02
-60.000000,-30.000000,1737400.000,-7.465826300e-03,-7.950677500e-03,-6.762152500e-03,1.283271372e-02
-60.000000,-29.500000,1737400.000,-7.517607900e-03,-8.108899900e-03,-6.695038600e-03,1.292641590e-02
-60.000000,-29.000000,1737400.000,-7.568352900e-03,-8.266582200e-03,-6.623534000e-03,1.301873840e-02
-60.000000,-28.500000,1737400.000,-7.617997500e-03,-8.423531400e-03,-6.547587000e-03,1.310956379e-02
-60.000000,-28.000000,1737400.000,-7.666458800e-03,-8.579574500e-03,-6.467167300e-03,1.319878563e-02
-60.000000,-27.500000,1737400.000,-7.713681100e-03,-8.734544700e-03,-6.382283300e-03,1.328633461e-02
-60.000000,-27.000000,1737400.000,-7.759585500e-03,-8.888238100e-03,-6.292903300e-03,1.337208195e-02
-60.000000,-26.500000,1737400.000,-7.804124600e-03,-9.040480500e-03,-6.199022300e-03,1.345594760e-02
-60.000000,-26.000000,1737400.000,-7.847199200e-03,-9.191079100e-03,-6.100671400e-03,1.353782338e-02
-60.000000,-25.500000,1737400.000,-7.888784600e-03,-9.339882100e-03,-5.997850600e-03,1.361765516e-02
-60.000000,-25.000000,1737400.000,-7.928783100e-03,-9.486650100e-03,-5.890605000e-03,1.369530426e-02
-60.000000,-24.500000,1737400.000,-7.967151700e-03,-9.631208100e-03,-5.778955800e-03,1.377069373e-02
-60.000000,-24.000000,1737400.000,-8.003811400e-03,-9.773378300e-03,-5.662945600e-03,1.384373047e-02
-60.000000,-23.500000,1737400.000,-8.038722900e-03,-9.912940700e-03,-5.542654500e-03,1.391432636e-02
