longitude_deg,latitude_deg,radius_m,Br
-60.000000,-35.000000,1737400.000,5.823224000e-03
-60.000000,-34.500000,1737400.000,5.853843700e-03
-60.000000,-34.000000,1737400.000,5.884130000e-03
-60.000000,-33.500000,1737400.000,5.914057300e-03
-60.000000,-33.000000,1737400.000,5.943593500e-03
-60.000000,-32.500000,1737400.000,5.972729800e-03
-60.000000,-32.000000,1737400.000,6.001416000e-03
-60.000000,-31.500000,1737400.000,6.029646300e-03
-60.000000,-31.000000,1737400.000,6.057382800e-03
-60.000000,-30.500000,1737400.000,6.084600500e-03
-60.000000,-30.000000,1737400.000,6.111286800e-03
-60.000000,-29.500000,1737400.000,6.137382800e-03
-60.000000,-29.000000,1737400.000,6.162901600e-03
-60.000000,-28.500000,1737400.000,6.187789200e-03
-60.000000,-28.000000,1737400.000,6.212025400e-03
-60.000000,-27.500000,1737400.000,6.235600500e-03
-60.000000,-27.000000,1737400.000,6.258466900e-03
-60.000000,-26.500000,1737400.000,6.280597400e-03
-60.000000,-26.000000,1737400.000,6.301988500e-03
-60.000000,-25.500000,1737400.000,6.322619700e-03
-60.000000,-25.000000,1737400.000,6.342453100e-03
-60.000000,-24.500000,1737400.000,6.361463600e-03
-60.000000,-24.000000,1737400.000,6.379647900e-03
-60.000000,-23.500000,1737400.000,6.396963400e-03
-60.000000,-23.000000,1737400.000,6.413415400e-03
-60.000000,-22.500000,1737400.000,6.428971900e-03
-60.000000,-22.000000,1737400.000,6.443623800e-03
-60.000000,-21.500000,1737400.000,6.457338000e-03
-60.000000,-21.000000,1737400.000,6.470118600e-03
-60.000000,-20.500000,1737400.000,6.481954000e-03
-60.000000,-20.000000,1737400.000,6.492825100e-03
-60.000000,-19.500000,1737400.000,6.502712600e-03
-60.000000,-19.000000,1737400.000,6.511624700e-03
-60.000000,-18.500000,1737400.000,6.519551200e-03
-60.000000,-18.000000,1737400.000,6.526498100e-03
-60.000000,-17.500000,1737400.000,6.532412900e-03
-60.000000,-17.000000,1737400.000,6.537366500e-03
-60.000000,-16.500000,1737400.000,6.541296300e-03
-60.000000,-16.000000,1737400.000,6.544228000e-03
-60.000000,-15.500000,1737400.000,6.546170500e-03
-60.000000,-15.000000,1737400.000,6.547103500e-03
-60.000000,-14.500000,1737400.000,6.547070000e-03
-60.000000,-14.000000,1737400.000,6.546053100e-03
-60.000000,-13.500000,1737400.000,6.544035500e-03
-60.000000,-13.000000,1737400.000,6.541078200e-03
-60.000000,-12.500000,1737400.000,6.537146600e-03
-60.000000,-12.000000,1737400.000,6.532300200e-03
-60.000000,-11.500000,1737400.000,6.526504400e-03
-60.000000,-11.000000,1737400.000,6.519806500e-03
-60.000000,-10.500000,1737400.000,6.512196900e-03
-60.000000,-10.000000,1737400.000,6.503712500e-03
-60.000000,-9.500000,1737400.000,6.494366600e-03
-60.000000,-9.000000,1737400.000,6.484161200e-03
-60.000000,-8.500000,1737400.000,6.473135000e-03
-60.000000,-8.000000,1737400.000,6.461293600e-03
-60.000000,-7.500000,1737400.000,6.448677000e-03
-60.000000,-7.000000,1737400.000,6.435282200e-03
-60.000000,-6.500000,1737400.000,6.421128900e-03
-60.000000,-6.000000,1737400.000,6.406265600e-03
-60.000000,-5.500000,1737400.000,6.390695700e-03
-60.000000,-5.000000,1737400.000,6.374457400e-03
-60.000000,-4.500000,1737400.000,6.357538900e-03
-60.000000,-4.000000,1737400.000,6.339992800e-03
-60.000000,-3.500000,1737400.000,6.321827900e-03
-60.000000,-3.000000,1737400.000,6.303095400e-03
-60.000000,-2.500000,1737400.000,6.283787600e-03
-60.000000,-2.000000,1737400.000,6.263919100e-03
-60.000000,-1.500000,1737400.000,6.243542900e-03
-60.000000,-1.000000,1737400.000,6.222666200e-03
-60.000000,-0.500000,1737400.000,6.201312600e-03
-60.000000,0.000000,1737400.000,6.179500400e-03
-60.000000,0.500000,1737400.000,6.157261100e-03
-60.000000,1.000000,1737400.000,6.134605700e-03
-60.000000,1.500000,1737400.000,6.111572000e-03
-60.000000,2.000000,1737400.000,6.088167500e-03
-60.000000,2.500000,1737400.000,6.064418000e-03
-60.000000,3.000000,1737400.000,6.040326100e-03
-60.000000,3.500000,1737400.000,6.015946800e-03
-60.000000,4.000000,1737400.000,5.991255900e-03
-60.000000,4.500000,1737400.000,5.966310800e-03
-60.000000,5.000000,1737400.000,5.941118700e-03
-60.000000,5.500000,1737400.000,5.915663500e-03
-60.000000,6.000000,1737400.000,5.890017500e-03
-60.000000,6.500000,1737400.000,5.864153700e-03
-60.000000,7.000000,1737400.000,5.838119200e-03
-60.000000,7.500000,1737400.000,5.811920100e-03
-60.000000,8.000000,1737400.000,5.785559300e-03
-60.000000,8.500000,1737400.000,5.759068400e-03
-60.000000,9.000000,1737400.000,5.732459400e-03
-60.000000,9.500000,1737400.000,5.705720200e-03
-60.000000,10.000000,1737400.000,5.678888700e-03
-60.000000,10.500000,1737400.000,5.651993600e-03
-60.000000,11.000000,1737400.000,5.625014500e-03
-60.000000,11.500000,1737400.000,5.597992000e-03
-60.000000,12.000000,1737400.000,5.570895600e-03
-60.000000,12.500000,1737400.000,5.543782300e-03
-60.000000,13.000000,1737400.000,5.516630100e-03
-60.000000,13.500000,1737400.000,5.489464900e-03
-60.000000,14.000000,1737400.000,5.462323100e-03
-60.000000,14.500000,1737400.000,5.435156900e-03
-60.000000,15.000000,1737400.000,5.408007200e-03
-60.000000,15.500000,1737400.000,5.380886200e-03
-60.000000,16.000000,1737400.000,5.353795000e-03
-60.000000,16.500000,1737400.000,5.326743000e-03
-60.000000,17.000000,1737400.000,5.299723200e-03
-60.000000,17.500000,1737400.000,5.272764500e-03
-60.000000,18.000000,1737400.000,5.245865500e-03
-60.000000,18.500000,1737400.000,5.219046000e-03
-60.000000,19.000000,1737400.000,5.192272300e-03
-60.000000,19.500000,1737400.000,5.165603000e-03
-60.000000,20.000000,1737400.000,5.139003700e-03
-60.000000,20.500000,1737400.000,5.112495600e-03
-60.000000,21.000000,1737400.000,5.086079400e-03
-60.000000,21.500000,1737400.000,5.059761500e-03
-60.000000,22.000000,1737400.000,5.033549200e-03
-60.000000,22.500000,1737400.000,5.007445300e-03
-60.000000,23.000000,1737400.000,4.981447400e-03
-60.000000,23.500000,1737400.000,4.955575700e-03
-60.000000,24.000000,1737400.000,4.929807500e-03
-60.000000,24.500000,1737400.000,4.904172000e-03
-60.000000,25.000000,1737400.000,4.878667200e-03
-59.500000,-35.000000,1737400.000,5.889858200e-03
