longitude_deg,latitude_deg,radius_m,Bx,By,Bz,Btot
-5.000000,-5.000000,1737400.000,3.133845300e-03,4.559211800e-02,1.549822500e-02,4.825616218e-02
-5.000000,-4.900000,1737400.000,3.147759700e-03,4.699210100e-02,1.502650800e-02,4.943644294e-02
-5.000000,-4.800000,1737400.000,3.159810100e-03,4.841394300e-02,1.449127900e-02,5.063488366e-02
-5.000000,-4.700000,1737400.000,3.169950600e-03,4.985508700e-02,1.388840600e-02,5.185042052e-02
-5.000000,-4.600000,1737400.000,3.178135700e-03,5.131243200e-02,1.321363400e-02,5.308169503e-02
-5.000000,-4.500000,1737400.000,3.184099900e-03,5.278256500e-02,1.246261800e-02,5.432729063e-02
-5.000000,-4.400000,1737400.000,3.187749800e-03,5.426161700e-02,1.163084500e-02,5.558562209e-02
-5.000000,-4.300000,1737400.000,3.188942100e-03,5.574517000e-02,1.071394000e-02,5.685491923e-02
-5.000000,-4.200000,1737400.000,3.187530900e-03,5.722809600e-02,9.707371700e-03,5.813302323e-02
-5.000000,-4.100000,1737400.000,3.183369500e-03,5.870493100e-02,8.606780300e-03,5.941783766e-02
-5.000000,-4.000000,1737400.000,3.176324800e-03,6.016960400e-02,7.407808700e-03,6.070704996e-02
-5.000000,-3.900000,1737400.000,3.166246700e-03,6.161525500e-02,6.106164800e-03,6.199798396e-02
-5.000000,-3.800000,1737400.000,3.153045900e-03,6.303430300e-02,4.697918000e-03,6.328771987e-02
-5.000000,-3.700000,1737400.000,3.136481600e-03,6.441891900e-02,3.179423500e-03,6.457355013e-02
-5.000000,-3.600000,1737400.000,3.116524100e-03,6.575989700e-02,1.547103200e-03,6.585188155e-02
-5.000000,-3.500000,1737400.000,3.092998200e-03,6.704804300e-02,-2.019197600e-04,6.711965047e-02
-5.000000,-3.400000,1737400.000,3.065712300e-03,6.827309000e-02,-2.070287000e-03,6.837323671e-02
-5.000000,-3.300000,1737400.000,3.034729300e-03,6.942401800e-02,-4.059702600e-03,6.960880004e-02
-5.000000,-3.200000,1737400.000,2.999711100e-03,7.048943600e-02,-6.171611600e-03,7.082264923e-02
-5.000000,-3.100000,1737400.000,2.960744500e-03,7.145710300e-02,-8.406258200e-03,7.201075443e-02
-5.000000,-3.000000,1737400.000,2.917750500e-03,7.231434400e-02,-1.076316600e-02,7.316914212e-02
-5.000000,-2.900000,1737400.000,2.870534800e-03,7.304798100e-02,-1.324095400e-02,7.429381105e-02
-5.000000,-2.800000,1737400.000,2.819110200e-03,7.364434700e-02,-1.583701000e-02,7.538068793e-02
-5.000000,-2.700000,1737400.000,2.763507200e-03,7.408947500e-02,-1.854750000e-02,7.642576159e-02
-5.000000,-2.600000,1737400.000,2.703575400e-03,7.436957200e-02,-2.136737700e-02,7.742549554e-02
-5.000000,-2.500000,1737400.000,2.639457100e-03,7.447034100e-02,-2.429020000e-02,7.837609482e-02
-5.000000,-2.400000,1737400.000,2.571098700e-03,7.437771600e-02,-2.730796300e-02,7.927408170e-02
-5.000000,-2.300000,1737400.000,2.498546800e-03,7.407823200e-02,-3.041109800e-02,8.011655306e-02
-5.000000,-2.200000,1737400.000,2.421863400e-03,7.355892700e-02,-3.358871500e-02,8.090106884e-02
-5.000000,-2.100000,1737400.000,2.341195500e-03,7.280696900e-02,-3.682819800e-02,8.162507029e-02
-5.000000,-2.000000,1737400.000,2.256511200e-03,7.181126600e-02,-4.011522600e-02,8.228718688e-02
-5.000000,-1.900000,1737400.000,2.168066300e-03,7.056149100e-02,-4.343413900e-02,8.288636169e-02
-5.000000,-1.800000,1737400.000,2.075933200e-03,6.904888200e-02,-4.676768900e-02,8.342226524e-02
-5.000000,-1.700000,1737400.000,1.980207600e-03,6.726622600e-02,-5.009733500e-02,8.389522845e-02
-5.000000,-1.600000,1737400.000,1.881246500e-03,6.520833100e-02,-5.340320200e-02,8.430639065e-02
-5.000000,-1.500000,1737400.000,1.779047900e-03,6.287185100e-02,-5.666439600e-02,8.465747713e-02
-5.000000,-1.400000,1737400.000,1.673919800e-03,6.025616100e-02,-5.985915300e-02,8.495131043e-02
-5.000000,-1.300000,1737400.000,1.565957200e-03,5.736262000e-02,-6.296508800e-02,8.519110694e-02
-5.000000,-1.200000,1737400.000,1.455528900e-03,5.419570600e-02,-6.595937200e-02,8.538109784e-02
-5.000000,-1.100000,1737400.000,1.342693300e-03,5.076189700e-02,-6.881908300e-02,8.552566397e-02
-5.000000,-1.000000,1737400.000,1.227677000e-03,4.707142700e-02,-7.152164000e-02,8.563043512e-02
-5.000000,-0.900000,1737400.000,1.110819800e-03,4.313614600e-02,-7.404485300e-02,8.570064917e-02
-5.000000,-0.800000,1737400.000,9.922073200e-04,3.897141300e-02,-7.636739300e-02,8.574225458e-02
-5.000000,-0.700000,1737400.000,8.720933100e-04,3.459495700e-02,-7.846919400e-02,8.576121503e-02
-5.000000,-0.600000,1737400.000,7.507127600e-04,3.002731300e-02,-8.033163800e-02,8.576348383e-02
-5.000000,-0.500000,1737400.000,6.282264900e-04,2.529090500e-02,-8.193782000e-02,8.575448029e-02
-5.000000,-0.400000,1737400.000,5.048561100e-04,2.041048000e-02,-8.327303100e-02,8.573937407e-02
-5.000000,-0.300000,1737400.000,3.807547300e-04,1.541257400e-02,-8.432494800e-02,8.572274650e-02
-5.000000,-0.200000,1737400.000,2.561031100e-04,1.032517700e-02,-8.508349200e-02,8.570808293e-02
-5.000000,-0.100000,1737400.000,1.310976800e-04,5.177487200e-03,-8.554150200e-02,8.569814540e-02
-5.000000,0.000000,1737400.000,5.910229900e-06,-4.981226300e-07,-8.569466300e-02,8.569466321e-02
-5.000000,0.100000,1737400.000,-1.192839000e-04,-5.178573500e-03,-8.554147900e-02,8.569817082e-02
-5.000000,0.200000,1737400.000,-2.443139400e-04,-1.032635500e-02,-8.508341800e-02,8.570811698e-02
-5.000000,0.300000,1737400.000,-3.690083700e-04,-1.541357900e-02,-8.432482200e-02,8.572275188e-02
-5.000000,0.400000,1737400.000,-4.931726100e-04,-2.041161100e-02,-8.327297100e-02,8.573951704e-02
-5.000000,0.500000,1737400.000,-6.166225600e-04,-2.529199600e-02,-8.193770800e-02,8.575461082e-02
-5.000000,0.600000,1737400.000,-7.392030700e-04,-3.002835800e-02,-8.033141500e-02,8.576354086e-02
-5.000000,0.700000,1737400.000,-8.606939200e-04,-3.459598500e-02,-7.846900800e-02,8.576134437e-02
-5.000000,0.800000,1737400.000,-9.809366900e-04,-3.897247500e-02,-7.636719900e-02,8.574243481e-02
-5.000000,0.900000,1737400.000,-1.099690100e-03,-4.313707400e-02,-7.404460000e-02,8.570075414e-02
-5.000000,1.000000,1737400.000,-1.216710000e-03,-4.707236600e-02,-7.152137200e-02,8.563057092e-02
-5.000000,1.100000,1737400.000,-1.331900600e-03,-5.076293600e-02,-6.881883700e-02,8.552591395e-02
