longitude_deg,latitude_deg,radius_m,Br,Btheta,Bphi,Btot
-5.000000,-5.000000,1737400.000,-2.199213200e-03,-1.536501900e-02,4.569175900e-02,4.825616218e-02
-5.000000,-4.900000,1737400.000,-2.239860100e-03,-1.488960300e-02,4.708762700e-02,4.943644270e-02
-5.000000,-4.800000,1737400.000,-2.280607200e-03,-1.435077300e-02,4.850510900e-02,5.063488377e-02
-5.000000,-4.700000,1737400.000,-2.321272100e-03,-1.374442200e-02,4.994165300e-02,5.185042087e-02
-5.000000,-4.600000,1737400.000,-2.361643200e-03,-1.306632100e-02,5.139416500e-02,5.308169458e-02
-5.000000,-4.500000,1737400.000,-2.401722900e-03,-1.231213500e-02,5.285922400e-02,5.432729059e-02
-5.000000,-4.400000,1737400.000,-2.441320400e-03,-1.147737600e-02,5.433296600e-02,5.558562224e-02
-5.000000,-4.300000,1737400.000,-2.480288300e-03,-1.055769000e-02,5.581097700e-02,5.685491889e-02
-5.000000,-4.200000,1737400.000,-2.518439100e-03,-9.548568700e-03,5.728813700e-02,5.813302281e-02
-5.000000,-4.100000,1737400.000,-2.555600600e-03,-8.445675700e-03,5.875899000e-02,5.941783771e-02
-5.000000,-4.000000,1737400.000,-2.591564700e-03,-7.244678000e-03,6.021747500e-02,6.070704953e-02
-5.000000,-3.900000,1737400.000,-2.626106200e-03,-5.941307800e-03,6.165674700e-02,6.199798402e-02
-5.000000,-3.800000,1737400.000,-2.658930600e-03,-4.531663300e-03,6.306924500e-02,6.328772037e-02
-5.000000,-3.700000,1737400.000,-2.689918000e-03,-3.012115300e-03,6.444714800e-02,6.457355018e-02
-5.000000,-3.600000,1737400.000,-2.718648100e-03,-1.379119200e-03,6.578128400e-02,6.585188184e-02
-5.000000,-3.500000,1737400.000,-2.744914300e-03,3.701832300e-04,6.706247800e-02,6.711965096e-02
-5.000000,-3.400000,1737400.000,-2.768466200e-03,2.238414700e-03,6.828048500e-02,6.837323700e-02
-5.000000,-3.300000,1737400.000,-2.788807600e-03,4.227247100e-03,6.942433300e-02,6.960880029e-02
-5.000000,-3.200000,1737400.000,-2.805834400e-03,6.338120100e-03,7.048264400e-02,7.082264877e-02
-5.000000,-3.100000,1737400.000,-2.819021000e-03,8.571250100e-03,7.144323300e-02,7.201075440e-02
-5.000000,-3.000000,1737400.000,-2.828008200e-03,1.092614600e-02,7.229346500e-02,7.316914226e-02
-5.000000,-2.900000,1737400.000,-2.832549600e-03,1.340142300e-02,7.302019500e-02,7.429381100e-02
-5.000000,-2.800000,1737400.000,-2.832200800e-03,1.599445800e-02,7.360981000e-02,7.538068835e-02
-5.000000,-2.700000,1737400.000,-2.826512800e-03,1.870140800e-02,7.404839800e-02,7.642576190e-02
-5.000000,-2.600000,1737400.000,-2.815259800e-03,2.151723600e-02,7.432220500e-02,7.742549508e-02
