longitude_deg,latitude_deg,radius_m,Br
-5.000000,-5.000000,1737400.000,-2.199213200e-03
-5.000000,-4.900000,1737400.000,-2.239860100e-03
-5.000000,-4.800000,1737400.000,-2.280607200e-03
-5.000000,-4.700000,1737400.000,-2.321272100e-03
-5.000000,-4.600000,1737400.000,-2.361643200e-03
-5.000000,-4.500000,1737400.000,-2.401722900e-03
-5.000000,-4.400000,1737400.000,-2.441320400e-03
-5.000000,-4.300000,1737400.000,-2.480288300e-03
-5.000000,-4.200000,1737400.000,-2.518439100e-03
-5.000000,-4.100000,1737400.000,-2.555600600e-03
-5.000000,-4.000000,1737400.000,-2.591564700e-03
-5.000000,-3.900000,1737400.000,-2.626106200e-03
-5.000000,-3.800000,1737400.000,-2.658930600e-03
-5.000000,-3.700000,1737400.000,-2.689918000e-03
-5.000000,-3.600000,1737400.000,-2.718648100e-03
-5.000000,-3.500000,1737400.000,-2.744914300e-03
-5.000000,-3.400000,1737400.000,-2.768466200e-03
-5.000000,-3.300000,1737400.000,-2.788807600e-03
-5.000000,-3.200000,1737400.000,-2.805834400e-03
-5.000000,-3.100000,1737400.000,-2.819021000e-03
-5.000000,-3.000000,1737400.000,-2.828008200e-03
-5.000000,-2.900000,1737400.000,-2.832549600e-03
-5.000000,-2.800000,1737400.000,-2.832200800e-03
-5.000000,-2.700000,1737400.000,-2.826512800e-03
-5.000000,-2.600000,1737400.000,-2.815259800e-03
-5.000000,-2.500000,1737400.000,-2.797906200e-03
-5.000000,-2.400000,1737400.000,-2.774151900e-03
-5.000000,-2.300000,1737400.000,-2.743656300e-03
-5.000000,-2.200000,1737400.000,-2.706091100e-03
-5.000000,-2.100000,1737400.000,-2.661041800e-03
-5.000000,-2.000000,1737400.000,-2.608395200e-03
-5.000000,-1.900000,1737400.000,-2.547762700e-03
-5.000000,-1.800000,1737400.000,-2.479015300e-03
-5.000000,-1.700000,1737400.000,-2.402053700e-03
-5.000000,-1.600000,1737400.000,-2.316602700e-03
-5.000000,-1.500000,1737400.000,-2.222793400e-03
-5.000000,-1.400000,1737400.000,-2.120561100e-03
-5.000000,-1.300000,1737400.000,-2.010088200e-03
-5.000000,-1.200000,1737400.000,-1.891410000e-03
-5.000000,-1.100000,1737400.000,-1.764887700e-03
-5.000000,-1.000000,1737400.000,-1.630876600e-03
-5.000000,-0.900000,1737400.000,-1.489596800e-03
-5.000000,-0.800000,1737400.000,-1.341660700e-03
-5.000000,-0.700000,1737400.000,-1.187556000e-03
-5.000000,-0.600000,1737400.000,-1.027878600e-03
-5.000000,-0.500000,1737400.000,-8.633183200e-04
-5.000000,-0.400000,1737400.000,-6.945737600e-04
-5.000000,-0.300000,1737400.000,-5.224529000e-04
-5.000000,-0.200000,1737400.000,-3.477691700e-04
-5.000000,-0.100000,1737400.000,-1.713504300e-04
-5.000000,0.000000,1737400.000,5.931153900e-06
-5.000000,0.100000,1737400.000,1.832139500e-04
-5.000000,0.200000,1737400.000,3.596163300e-04
-5.000000,0.300000,1737400.000,5.342426500e-04
-5.000000,0.400000,1737400.000,7.063115100e-04
-5.000000,0.500000,1737400.000,8.749737100e-04
-5.000000,0.600000,1737400.000,1.039437300e-03
-5.000000,0.700000,1737400.000,1.199003100e-03
-5.000000,0.800000,1737400.000,1.352982600e-03
-5.000000,0.900000,1737400.000,1.500767600e-03
-5.000000,1.000000,1737400.000,1.641886700e-03
-5.000000,1.100000,1737400.000,1.775732600e-03
-5.000000,1.200000,1737400.000,1.902067800e-03
-5.000000,1.300000,1737400.000,2.020545700e-03
-5.000000,1.400000,1737400.000,2.130807300e-03
-5.000000,1.500000,1737400.000,2.232819100e-03
-5.000000,1.600000,1737400.000,2.326398200e-03
-5.000000,1.700000,1737400.000,2.411599300e-03
-5.000000,1.800000,1737400.000,2.488307300e-03
-5.000000,1.900000,1737400.000,2.556809500e-03
-5.000000,2.000000,1737400.000,2.617183700e-03
-5.000000,2.100000,1737400.000,2.669561100e-03
-5.000000,2.200000,1737400.000,2.714331400e-03
-5.000000,2.300000,1737400.000,2.751637600e-03
-5.000000,2.400000,1737400.000,2.781859800e-03
-5.000000,2.500000,1737400.000,2.805337700e-03
-5.000000,2.600000,1737400.000,2.822417800e-03
-5.000000,2.700000,1737400.000,2.833410300e-03
-5.000000,2.800000,1737400.000,2.838826200e-03
-5.000000,2.900000,1737400.000,2.838920000e-03
-5.000000,3.000000,1737400.000,2.834124700e-03
-5.000000,3.100000,1737400.000,2.824884300e-03
-5.000000,3.200000,1737400.000,2.811448100e-03
-5.000000,3.300000,1737400.000,2.794183100e-03
-5.000000,3.400000,1737400.000,2.773605600e-03
-5.000000,3.500000,1737400.000,2.749831800e-03
-5.000000,3.600000,1737400.000,2.723341400e-03
-5.000000,3.700000,1737400.000,2.694386800e-03
-5.000000,3.800000,1737400.000,2.663209500e-03
-5.000000,3.900000,1737400.000,2.630175800e-03
-5.000000,4.000000,1737400.000,2.595441300e-03
-5.000000,4.100000,1737400.000,2.559300000e-03
-5.000000,4.200000,1737400.000,2.521962800e-03
-5.000000,4.300000,1737400.000,2.483636600e-03
-5.000000,4.400000,1737400.000,2.444514900e-03
-5.000000,4.500000,1737400.000,2.404759700e-03
-5.000000,4.600000,1737400.000,2.364534100e-03
-5.000000,4.700000,1737400.000,2.324019300e-03
-5.000000,4.800000,1737400.000,2.283221700e-03
-5.000000,4.900000,1737400.000,2.242347000e-03
-5.000000,5.000000,1737400.000,2.201572700e-03
-4.899994,-5.000000,1737400.000,-2.285683200e-03
-4.899994,-4.900000,1737400.000,-2.330041600e-03
-4.899994,-4.800000,1737400.000,-2.374633700e-03
-4.899994,-4.700000,1737400.000,-2.419271400e-03
-4.899994,-4.600000,1737400.000,-2.463791200e-03
-4.899994,-4.500000,1737400.000,-2.508097100e-03
-4.899994,-4.400000,1737400.000,-2.552047400e-03
-4.899994,-4.300000,1737400.000,-2.595468000e-03
-4.899994,-4.200000,1737400.000,-2.638243700e-03
-4.899994,-4.100000,1737400.000,-2.680069200e-03
-4.899994,-4.000000,1737400.000,-2.720824600e-03
-4.899994,-3.900000,1737400.000,-2.760183600e-03
-4.899994,-3.800000,1737400.000,-2.797878700e-03
-4.899994,-3.700000,1737400.000,-2.833754800e-03
-4.899994,-3.600000,1737400.000,-2.867442900e-03
-4.899994,-3.500000,1737400.000,-2.898595500e-03
-4.899994,-3.400000,1737400.000,-2.926985500e-03
-4.899994,-3.300000,1737400.000,-2.952137200e-03
-4.899994,-3.200000,1737400.000,-2.973826500e-03
-4.899994,-3.100000,1737400.000,-2.991491700e-03
-4.899994,-3.000000,1737400.000,-3.004755300e-03
-4.899994,-2.900000,1737400.000,-3.013334900e-03
-4.899994,-2.800000,1737400.000,-3.016742300e-03
-4.899994,-2.700000,1737400.000,-3.014524000e-03
-4.899994,-2.600000,1737400.000,-3.006248500e-03
-4.899994,-2.500000,1737400.000,-2.991424500e-03
-4.899994,-2.400000,1737400.000,-2.969691500e-03
-4.899994,-2.300000,1737400.000,-2.940633600e-03
-4.899994,-2.200000,1737400.000,-2.903838100e-03
-4.899994,-2.100000,1737400.000,-2.858883500e-03
-4.899994,-2.000000,1737400.000,-2.805576900e-03
-4.899994,-1.900000,1737400.000,-2.743446800e-03
-4.899994,-1.800000,1737400.000,-2.672362000e-03
