longitude_deg,latitude_deg,radius_m,Bx,By,Bz,Btot
-12.000000,-12.000000,1737400.000,3.371051420e-03,1.353220518e-02,1.105583866e-02,1.779652025e-02
-12.000000,-11.600000,1737400.000,3.602013620e-03,1.507585818e-02,1.130554817e-02,1.918518755e-02
-12.000000,-11.200000,1737400.000,3.844723100e-03,1.678321625e-02,1.145574852e-02,2.068072575e-02
-12.000000,-10.800000,1737400.000,4.096512840e-03,1.865985497e-02,1.147059410e-02,2.228331515e-02
-12.000000,-10.400000,1737400.000,4.353235340e-03,2.070527464e-02,1.130618265e-02,2.398934809e-02
-12.000000,-10.000000,1737400.000,4.608756840e-03,2.290965770e-02,1.090994956e-02,2.578992158e-02
-12.000000,-9.600000,1737400.000,4.854488780e-03,2.524978540e-02,1.022078923e-02,2.766915713e-02
-12.000000,-9.200000,1737400.000,5.078744880e-03,2.768395055e-02,9.170228710e-03,2.960215976e-02
-12.000000,-8.800000,1737400.000,5.266455790e-03,3.014651674e-02,7.685589080e-03,3.155338821e-02
-12.000000,-8.400000,1737400.000,5.398736130e-03,3.254172089e-02,5.695744250e-03,3.347463895e-02
-12.000000,-8.000000,1737400.000,5.453096000e-03,3.473901507e-02,3.140215820e-03,3.530433939e-02
-12.000000,-7.600000,1737400.000,5.404136300e-03,3.657147535e-02,-1.792826000e-05,3.696860587e-02
-12.000000,-7.200000,1737400.000,5.225359220e-03,3.783886544e-02,-3.775378130e-03,3.838407999e-02
-12.000000,-6.800000,1737400.000,4.891768250e-03,3.831958501e-02,-8.070777530e-03,3.946463533e-02
-12.000000,-6.400000,1737400.000,4.383871440e-03,3.779286927e-02,-1.276821551e-02,4.013161626e-02
-12.000000,-6.000000,1737400.000,3.692150830e-03,3.607130927e-02,-1.764875973e-02,4.032679073e-02
-12.000000,-5.600000,1737400.000,2.821533890e-03,3.304071688e-02,-2.241559256e-02,4.002635151e-02
-12.000000,-5.200000,1737400.000,1.794471030e-03,2.869945239e-02,-2.671774518e-02,3.925196302e-02
-12.000000,-4.800000,1737400.000,6.512952100e-04,2.318619508e-02,-3.019309451e-02,3.807422729e-02
-12.000000,-4.400000,1737400.000,-5.528167700e-04,1.678415757e-02,-3.252405955e-02,3.660366104e-02
-12.000000,-4.000000,1737400.000,-1.754084091e-03,9.896493038e-03,-3.349381022e-02,3.496931095e-02
-12.000000,-3.600000,1737400.000,-2.888719180e-03,2.994088990e-03,-3.302776904e-02,3.328877882e-02
-12.000000,-3.200000,1737400.000,-3.901701520e-03,-3.453454230e-03,-3.120847452e-02,3.164045674e-02
-12.000000,-2.800000,1737400.000,-4.753442240e-03,-9.046377740e-03,-2.825897056e-02,3.004998470e-02
-12.000000,-2.400000,1737400.000,-5.423346470e-03,-1.350561711e-02,-2.449965017e-02,2.849644257e-02
-12.000000,-2.000000,1737400.000,-5.909540750e-03,-1.669717207e-02,-2.029239443e-02,2.693509790e-02
-12.000000,-1.600000,1737400.000,-6.225427830e-03,-1.862582490e-02,-1.598473508e-02,2.532171125e-02
-12.000000,-1.200000,1737400.000,-6.394590730e-03,-1.940804490e-02,-1.186840411e-02,2.363095456e-02
-12.000000,-0.800000,1737400.000,-6.445418440e-03,-1.923236940e-02,-8.156308364e-03,2.186213205e-02
-12.000000,-0.400000,1737400.000,-6.406643060e-03,-1.831970230e-02,-4.978182350e-03,2.003593939e-02
-12.000000,0.000000,1737400.000,-6.304290760e-03,-1.689150160e-02,-2.389527250e-03,1.818726887e-02
-12.000000,0.400000,1737400.000,-6.159961970e-03,-1.514748100e-02,-3.878892400e-04,1.635670414e-02
-12.000000,0.800000,1737400.000,-5.990434650e-03,-1.325401450e-02,1.069130340e-03,1.458414370e-02
-12.000000,1.200000,1737400.000,-5.807970510e-03,-1.134044990e-02,2.047504370e-03,1.290467355e-02
-12.000000,1.600000,1737400.000,-5.620865320e-03,-9.500781900e-03,2.623820030e-03,1.134651555e-02
-12.000000,2.000000,1737400.000,-5.434507680e-03,-7.798207400e-03,2.876137449e-03,9.930663573e-03
-12.000000,2.400000,1737400.000,-5.252019110e-03,-6.270607800e-03,2.877888594e-03,8.671013186e-03
-12.000000,2.800000,1737400.000,-5.074908440e-03,-4.936553100e-03,2.694833143e-03,7.575379717e-03
-12.000000,3.200000,1737400.000,-4.903732920e-03,-3.800253500e-03,2.383426329e-03,6.645994604e-03
-12.000000,3.600000,1737400.000,-4.738432510e-03,-2.855621600e-03,1.990531929e-03,5.879586272e-03
-12.000000,4.000000,1737400.000,-4.578598360e-03,-2.089950600e-03,1.553940062e-03,5.267464871e-03
-12.000000,4.400000,1737400.000,-4.423711730e-03,-1.486485200e-03,1.103245240e-03,4.795415913e-03
-12.000000,4.800000,1737400.000,-4.273217600e-03,-1.026279100e-03,6.607442300e-04,4.444122004e-03
