longitude_deg,latitude_deg,radius_m,Bx,By,Bz,Btot
-12.000000,-12.000000,1737400.000,8.538336160e-04,3.360191684e-03,2.740055780e-03,4.419029947e-03
-12.000000,-11.600000,1737400.000,9.121628340e-04,3.744635631e-03,2.801753450e-03,4.764888187e-03
-12.000000,-11.200000,1737400.000,9.734558990e-04,4.169897477e-03,2.838577220e-03,5.137429512e-03
-12.000000,-10.800000,1737400.000,1.037048291e-03,4.637366574e-03,2.841574730e-03,5.536712458e-03
-12.000000,-10.400000,1737400.000,1.101904632e-03,5.146900745e-03,2.799774370e-03,5.961838443e-03
-12.000000,-10.000000,1737400.000,1.166492878e-03,5.696051563e-03,2.700046910e-03,6.410613259e-03
-12.000000,-9.600000,1737400.000,1.228662082e-03,6.278995140e-03,2.527124250e-03,6.879080422e-03
-12.000000,-9.200000,1737400.000,1.285495683e-03,6.885306190e-03,2.263904100e-03,7.361059859e-03
-12.000000,-8.800000,1737400.000,1.333224871e-03,7.498575761e-03,1.892232000e-03,7.847717435e-03
-12.000000,-8.400000,1737400.000,1.367129004e-03,8.094850149e-03,1.394337050e-03,8.327053288e-03
-12.000000,-8.000000,1737400.000,1.381586220e-03,8.641499020e-03,7.551258900e-04,8.783763482e-03
-12.000000,-7.600000,1737400.000,1.370242900e-03,9.096789510e-03,-3.461998000e-05,9.199475177e-03
-12.000000,-7.200000,1737400.000,1.326476573e-03,9.410666150e-03,-9.740493500e-04,9.553478404e-03
-12.000000,-6.800000,1737400.000,1.244036091e-03,9.527735540e-03,-2.047796890e-03,9.824400359e-03
-12.000000,-6.400000,1737400.000,1.118049173e-03,9.392817190e-03,-3.221866060e-03,9.992770868e-03
-12.000000,-6.000000,1737400.000,9.461284800e-04,8.959075210e-03,-4.441490590e-03,1.004425340e-02
-12.000000,-5.600000,1737400.000,7.295071770e-04,8.197979880e-03,-5.632444790e-03,9.973138380e-03
-12.000000,-5.200000,1737400.000,4.737933210e-04,7.109151350e-03,-6.706955820e-03,9.785078916e-03
-12.000000,-4.800000,1737400.000,1.890643700e-04,5.727289480e-03,-7.574471840e-03,9.497905758e-03
-12.000000,-4.400000,1737400.000,-1.108876440e-04,4.123234270e-03,-8.155571100e-03,9.139294113e-03
-12.000000,-4.000000,1737400.000,-4.101272390e-04,2.397808675e-03,-8.396025590e-03,8.741334938e-03
-12.000000,-3.600000,1737400.000,-6.927127230e-04,6.688004200e-04,-8.277179060e-03,8.332996946e-03
-12.000000,-3.200000,1737400.000,-9.448924900e-04,-9.463527200e-04,-7.819652020e-03,7.933181140e-03
-12.000000,-2.800000,1737400.000,-1.156782620e-03,-2.347641940e-03,-7.079202820e-03,7.547495033e-03
-12.000000,-2.400000,1737400.000,-1.323239150e-03,-3.465250320e-03,-6.135936460e-03,7.169981720e-03
-12.000000,-2.000000,1737400.000,-1.443803080e-03,-4.265599280e-03,-5.080336020e-03,6.788940906e-03
-12.000000,-1.600000,1737400.000,-1.521835040e-03,-4.749828040e-03,-3.999308910e-03,6.393068125e-03
