longitude_deg,latitude_deg,radius_m,Br
-12.000000,-12.000000,1737400.000,-4.361214550e-04
-12.000000,-11.600000,1737400.000,-4.520162110e-04
-12.000000,-11.200000,1737400.000,-4.677589600e-04
-12.000000,-10.800000,1737400.000,-4.831240300e-04
-12.000000,-10.400000,1737400.000,-4.978152450e-04
-12.000000,-10.000000,1737400.000,-5.114743049e-04
-12.000000,-9.600000,1737400.000,-5.236572709e-04
-12.000000,-9.200000,1737400.000,-5.338468380e-04
-12.000000,-8.800000,1737400.000,-5.414343640e-04
-12.000000,-8.400000,1737400.000,-5.457398040e-04
-12.000000,-8.000000,1737400.000,-5.460332710e-04
-12.000000,-7.600000,1737400.000,-5.416098780e-04
-12.000000,-7.200000,1737400.000,-5.318196940e-04
-12.000000,-6.800000,1737400.000,-5.162345210e-04
-12.000000,-6.400000,1737400.000,-4.947664440e-04
-12.000000,-6.000000,1737400.000,-4.678466680e-04
-12.000000,-5.600000,1737400.000,-4.365307410e-04
-12.000000,-5.200000,1737400.000,-4.025913350e-04
-12.000000,-4.800000,1737400.000,-3.684945000e-04
-12.000000,-4.400000,1737400.000,-3.371993430e-04
-12.000000,-4.000000,1737400.000,-3.118286430e-04
-12.000000,-3.600000,1737400.000,-2.952869470e-04
-12.000000,-3.200000,1737400.000,-2.898474510e-04
-12.000000,-2.800000,1737400.000,-2.968163610e-04
-12.000000,-2.400000,1737400.000,-3.164074130e-04
-12.000000,-2.000000,1737400.000,-3.477633010e-04
-12.000000,-1.600000,1737400.000,-3.891719000e-04
-12.000000,-1.200000,1737400.000,-4.383197330e-04
-12.000000,-0.800000,1737400.000,-4.926285720e-04
-12.000000,-0.400000,1737400.000,-5.495490180e-04
-12.000000,0.000000,1737400.000,-6.067383830e-04
-12.000000,0.400000,1737400.000,-6.621823050e-04
-12.000000,0.800000,1737400.000,-7.142685330e-04
-12.000000,1.200000,1737400.000,-7.617678370e-04
-12.000000,1.600000,1737400.000,-8.038054050e-04
-12.000000,2.000000,1737400.000,-8.398305520e-04
-12.000000,2.400000,1737400.000,-8.695634450e-04
-12.000000,2.800000,1737400.000,-8.929185180e-04
-12.000000,3.200000,1737400.000,-9.099904110e-04
-12.000000,3.600000,1737400.000,-9.210124520e-04
-12.000000,4.000000,1737400.000,-9.263097940e-04
-12.000000,4.400000,1737400.000,-9.262871890e-04
-12.000000,4.800000,1737400.000,-9.213965230e-04
-12.000000,5.200000,1737400.000,-9.121187940e-04
-12.000000,5.600000,1737400.000,-8.989622320e-04
-12.000000,6.000000,1737400.000,-8.824245100e-04
-12.000000,6.400000,1737400.000,-8.629963680e-04
-12.000000,6.800000,1737400.000,-8.411579950e-04
-12.000000,7.200000,1737400.000,-8.173555010e-04
-12.000000,7.600000,1737400.000,-7.920086610e-04
-12.000000,8.000000,1737400.000,-7.655028130e-04
-12.000000,8.400001,1737400.000,-7.381868080e-04
-12.000000,8.800000,1737400.000,-7.103728640e-04
-12.000000,9.200001,1737400.000,-6.823363760e-04
-12.000000,9.600000,1737400.000,-6.543167780e-04
-12.000000,10.000000,1737400.000,-6.265185270e-04
-12.000000,10.400001,1737400.000,-5.991113260e-04
-12.000000,10.800000,1737400.000,-5.722416330e-04
-12.000000,11.200001,1737400.000,-5.460230370e-04
-12.000000,11.600000,1737400.000,-5.205502870e-04
-12.000000,12.000000,1737400.000,-4.958904220e-04
-11.600006,-12.000000,1737400.000,-4.559685000e-04
-11.600006,-11.600000,1737400.000,-4.735686900e-04
-11.600006,-11.200000,1737400.000,-4.911070760e-04
-11.600006,-10.800000,1737400.000,-5.083326260e-04
-11.600006,-10.400000,1737400.000,-5.249182960e-04
-11.600006,-10.000000,1737400.000,-5.404195020e-04
-11.600006,-9.600000,1737400.000,-5.543171768e-04
-11.600006,-9.200000,1737400.000,-5.659592300e-04
-11.600006,-8.800000,1737400.000,-5.745473570e-04
-11.600006,-8.400000,1737400.000,-5.791435690e-04
-11.600006,-8.000000,1737400.000,-5.787159310e-04
-11.600006,-7.600000,1737400.000,-5.721428590e-04
-11.600006,-7.200000,1737400.000,-5.583496650e-04
-11.600006,-6.800000,1737400.000,-5.364692150e-04
-11.600006,-6.400000,1737400.000,-5.060386640e-04
-11.600006,-6.000000,1737400.000,-4.673206080e-04
-11.600006,-5.600000,1737400.000,-4.215355460e-04
-11.600006,-5.200000,1737400.000,-3.710671650e-04
-11.600006,-4.800000,1737400.000,-3.194817180e-04
-11.600006,-4.400000,1737400.000,-2.712547580e-04
-11.600006,-4.000000,1737400.000,-2.312562190e-04
-11.600006,-3.600000,1737400.000,-2.040510060e-04
-11.600006,-3.200000,1737400.000,-1.931672310e-04
-11.600006,-2.800000,1737400.000,-2.005605830e-04
-11.600006,-2.400000,1737400.000,-2.263843370e-04
-11.600006,-2.000000,1737400.000,-2.690884320e-04
-11.600006,-1.600000,1737400.000,-3.257876180e-04
-11.600006,-1.200000,1737400.000,-3.928331400e-04
-11.600006,-0.800000,1737400.000,-4.662957110e-04
-11.600006,-0.400000,1737400.000,-5.424760790e-04
-11.600006,0.000000,1737400.000,-6.181180150e-04
-11.600006,0.400000,1737400.000,-6.905767900e-04
-11.600006,0.800000,1737400.000,-7.578367900e-04
-11.600006,1.200000,1737400.000,-8.184739180e-04
-11.600006,1.600000,1737400.000,-8.715492870e-04
-11.600006,2.000000,1737400.000,-9.165606550e-04
-11.600006,2.400000,1737400.000,-9.533160390e-04
-11.600006,2.800000,1737400.000,-9.818848620e-04
-11.600006,3.200000,1737400.000,-1.002524004e-03
-11.600006,3.600000,1737400.000,-1.015638690e-03
-11.600006,4.000000,1737400.000,-1.021731020e-03
-11.600006,4.400000,1737400.000,-1.021379723e-03
-11.600006,4.800000,1737400.000,-1.015203262e-03
-11.600006,5.200000,1737400.000,-1.003839929e-03
-11.600006,5.600000,1737400.000,-9.879459600e-04
-11.600006,6.000000,1737400.000,-9.681580240e-04
-11.600006,6.400000,1737400.000,-9.450868490e-04
-11.600006,6.800000,1737400.000,-9.193239030e-04
-11.600006,7.200000,1737400.000,-8.914190560e-04
-11.600006,7.600000,1737400.000,-8.618656530e-04
-11.600006,8.000000,1737400.000,-8.311277810e-04
-11.600006,8.400001,1737400.000,-7.996117720e-04
-11.600006,8.800000,1737400.000,-7.676821060e-04
-11.600006,9.200001,1737400.000,-7.356482660e-04
-11.600006,9.600000,1737400.000,-7.037823330e-04
-11.600006,10.000000,1737400.000,-6.723061390e-04
-11.600006,10.400001,1737400.000,-6.414130830e-04
-11.600006,10.800000,1737400.000,-6.112489950e-04
-11.600006,11.200001,1737400.000,-5.819390540e-04
-11.600006,11.600000,1737400.000,-5.535706150e-04
-11.600006,12.000000,1737400.000,-5.262151180e-04
-11.199997,-12.000000,1737400.000,-4.767265750e-04
