longitude_deg,latitude_deg,radius_m,Br
-16.000000,-16.000000,1737400.000,-1.552075100e-04
-16.000000,-15.500000,1737400.000,8.834386000e-05
-16.000000,-15.000000,1737400.000,3.914656900e-04
-16.000000,-14.500000,1737400.000,7.625713000e-04
-16.000000,-14.000000,1737400.000,1.208964800e-03
-16.000000,-13.500000,1737400.000,1.734769120e-03
-16.000000,-13.000000,1737400.000,2.338460290e-03
-16.000000,-12.500000,1737400.000,3.009782590e-03
-16.000000,-12.000000,1737400.000,3.726802010e-03
-16.000000,-11.500000,1737400.000,4.454067070e-03
-16.000000,-11.000000,1737400.000,5.143273650e-03
-16.000000,-10.500000,1737400.000,5.738972550e-03
-16.000000,-10.000000,1737400.000,6.186784470e-03
-16.000000,-9.500000,1737400.000,6.444291880e-03
-16.000000,-9.000000,1737400.000,6.489914260e-03
-16.000000,-8.500000,1737400.000,6.326688280e-03
-16.000000,-8.000000,1737400.000,5.980430620e-03
-16.000000,-7.500000,1737400.000,5.492397850e-03
-16.000000,-7.000000,1737400.000,4.910012780e-03
-16.000000,-6.500000,1737400.000,4.278960770e-03
-16.000000,-6.000000,1737400.000,3.637256520e-03
-16.000000,-5.500000,1737400.000,3.013377320e-03
-16.000000,-5.000000,1737400.000,2.426052340e-03
-16.000000,-4.500000,1737400.000,1.885779220e-03
-16.000000,-4.000000,1737400.000,1.396787250e-03
-16.000000,-3.500000,1737400.000,9.588599500e-04
-16.000000,-3.000000,1737400.000,5.690883900e-04
-16.000000,-2.500000,1737400.000,2.230293700e-04
-16.000000,-2.000000,1737400.000,-8.456517000e-05
-16.000000,-1.500000,1737400.000,-3.589171800e-04
-16.000000,-1.000000,1737400.000,-6.049905400e-04
-16.000000,-0.500000,1737400.000,-8.271904700e-04
-16.000000,0.000000,1737400.000,-1.029225410e-03
-16.000000,0.500000,1737400.000,-1.213962070e-03
-16.000000,1.000000,1737400.000,-1.383456270e-03
-16.000000,1.500000,1737400.000,-1.538829560e-03
-16.000000,2.000000,1737400.000,-1.680368610e-03
-16.000000,2.500000,1737400.000,-1.807528990e-03
-16.000000,3.000000,1737400.000,-1.919059260e-03
-16.000000,3.500000,1737400.000,-2.013176520e-03
-16.000000,4.000000,1737400.000,-2.087747210e-03
-16.000000,4.500000,1737400.000,-2.140617820e-03
-16.000000,5.000000,1737400.000,-2.169903230e-03
-16.000000,5.500000,1737400.000,-2.174276640e-03
-16.000000,6.000000,1737400.000,-2.153205920e-03
-16.000000,6.500000,1737400.000,-2.107159330e-03
-16.000000,7.000000,1737400.000,-2.037593160e-03
-16.000000,7.500000,1737400.000,-1.946946860e-03
-16.000000,8.000000,1737400.000,-1.838415730e-03
-16.000000,8.500000,1737400.000,-1.715725220e-03
-16.000000,9.000000,1737400.000,-1.582814270e-03
-16.000000,9.500000,1737400.000,-1.443609340e-03
-16.000000,10.000000,1737400.000,-1.301758030e-03
-16.000000,10.500000,1737400.000,-1.160473490e-03
-16.000000,11.000000,1737400.000,-1.022451170e-03
-16.000000,11.500000,1737400.000,-8.898479400e-04
-16.000000,12.000000,1737400.000,-7.642341200e-04
-16.000000,12.500000,1737400.000,-6.467062200e-04
-16.000000,13.000000,1737400.000,-5.379448700e-04
-16.000000,13.500000,1737400.000,-4.382566000e-04
-16.000000,14.000000,1737400.000,-3.476715700e-04
-16.000000,14.500000,1737400.000,-2.659989900e-04
-16.000000,15.000000,1737400.000,-1.929052700e-04
-16.000000,15.500000,1737400.000,-1.279505200e-04
