longitude_deg,latitude_deg,radius_m,Br,Btheta,Bphi,Btot
-16.000000,-16.000000,1737400.000,-1.552075100e-04,-1.099581043e-02,2.767397112e-02,2.977886186e-02
-16.000000,-15.500000,1737400.000,8.834386000e-05,-9.690533251e-03,3.131232509e-02,3.277767444e-02
-16.000000,-15.000000,1737400.000,3.914656900e-04,-7.596548136e-03,3.509565268e-02,3.591052250e-02
-16.000000,-14.500000,1737400.000,7.625713000e-04,-4.519771161e-03,3.881723761e-02,3.908692597e-02
-16.000000,-14.000000,1737400.000,1.208964800e-03,-2.847265240e-04,4.215926237e-02,4.217755409e-02
-16.000000,-13.500000,1737400.000,1.734769120e-03,5.216125059e-03,4.467975854e-02,4.501664367e-02
-16.000000,-13.000000,1737400.000,2.338460290e-03,1.195338568e-02,4.582431336e-02,4.741539329e-02
-16.000000,-12.500000,1737400.000,3.009782590e-03,1.968361515e-02,4.498393892e-02,4.919408763e-02
-16.000000,-12.000000,1737400.000,3.726802010e-03,2.789001308e-02,4.160869158e-02,5.022972325e-02
-16.000000,-11.500000,1737400.000,4.454067070e-03,3.578212773e-02,3.537151397e-02,5.051082437e-02
-16.000000,-11.000000,1737400.000,5.143273650e-03,4.239064233e-02,2.633680822e-02,5.017018326e-02
-16.000000,-10.500000,1737400.000,5.738972550e-03,4.676143157e-02,1.506207443e-02,4.946143320e-02
-16.000000,-10.000000,1737400.000,6.186784470e-03,4.819963755e-02,2.564105660e-03,4.866267563e-02
-16.000000,-9.500000,1737400.000,6.444291880e-03,4.647105796e-02,-9.871262800e-03,4.794298651e-02
-16.000000,-9.000000,1737400.000,6.489914260e-03,4.187213598e-02,-2.097858377e-02,4.728102934e-02
-16.000000,-8.500000,1737400.000,6.326688280e-03,3.513639438e-02,-2.979260975e-02,4.649938484e-02
-16.000000,-8.000000,1737400.000,5.980430620e-03,2.722182176e-02,-3.581624891e-02,4.538278105e-02
-16.000000,-7.500000,1737400.000,5.492397850e-03,1.907186978e-02,-3.903229969e-02,4.378838967e-02
-16.000000,-7.000000,1737400.000,4.910012780e-03,1.143663577e-02,-3.978969911e-02,4.169082655e-02
-16.000000,-6.500000,1737400.000,4.278960770e-03,4.793674470e-03,-3.863490730e-02,3.916560841e-02
-16.000000,-6.000000,1737400.000,3.637256520e-03,-6.413770700e-04,-3.615727677e-02,3.634542149e-02
-16.000000,-5.500000,1737400.000,3.013377320e-03,-4.853459670e-03,-3.288478910e-02,3.337732565e-02
-16.000000,-5.000000,1737400.000,2.426052340e-03,-7.952447800e-03,-2.923415808e-02,3.039347224e-02
-16.000000,-4.500000,1737400.000,1.885779220e-03,-1.010855534e-02,-2.550281632e-02,2.749786709e-02
-16.000000,-4.000000,1737400.000,1.396787250e-03,-1.150640170e-02,-2.188272395e-02,2.476291384e-02
-16.000000,-3.500000,1737400.000,9.588599500e-04,-1.231837762e-02,-1.848457181e-02,2.223378588e-02
-16.000000,-3.000000,1737400.000,5.690883900e-04,-1.269166601e-02,-1.536072257e-02,1.993374139e-02
-16.000000,-2.500000,1737400.000,2.230293700e-04,-1.274471901e-02,-1.252551938e-02,1.787082092e-02
-16.000000,-2.000000,1737400.000,-8.456517000e-05,-1.256831104e-02,-9.970049199e-03,1.604280134e-02
-16.000000,-1.500000,1737400.000,-3.589171800e-04,-1.222927436e-02,-7.673224446e-03,1.444168779e-02
-16.000000,-1.000000,1737400.000,-6.049905400e-04,-1.177466491e-02,-5.608836063e-03,1.305633139e-02
-16.000000,-0.500000,1737400.000,-8.271904700e-04,-1.123598310e-02,-3.750360360e-03,1.187420579e-02
-16.000000,0.000000,1737400.000,-1.029225410e-03,-1.063279580e-02,-2.073871744e-03,1.088193896e-02
