longitude_deg,latitude_deg,radius_m,Bx,By,Bz,Btot
-16.000000,-16.000000,1737400.000,2.597370476e-03,6.446639133e-03,2.644098213e-03,7.436178108e-03
-16.000000,-15.500000,1737400.000,2.798339393e-03,7.334798616e-03,2.319347102e-03,8.185923593e-03
-16.000000,-15.000000,1737400.000,2.979569510e-03,8.266294589e-03,1.799617234e-03,8.969285528e-03
-16.000000,-14.500000,1737400.000,3.121997892e-03,9.192839623e-03,1.036543713e-03,9.763687523e-03
-16.000000,-14.000000,1737400.000,3.201337232e-03,1.003873191e-02,-1.390776500e-05,1.053683500e-02
-16.000000,-13.500000,1737400.000,3.189275752e-03,1.069715153e-02,-1.379269084e-03,1.124735142e-02
-16.000000,-13.000000,1737400.000,3.056738708e-03,1.103224504e-02,-3.053442067e-03,1.184810493e-02
-16.000000,-12.500000,1737400.000,2.779753381e-03,1.089250625e-02,-4.977426538e-03,1.229424646e-02
-16.000000,-12.000000,1737400.000,2.347329764e-03,1.013805818e-02,-7.024269900e-03,1.255510049e-02
-16.000000,-11.500000,1737400.000,1.769496301e-03,8.680968808e-03,-8.998454020e-03,1.262784666e-02
-16.000000,-11.000000,1737400.000,1.081864721e-03,6.527773651e-03,-1.065886432e-02,1.254566254e-02
-16.000000,-10.500000,1737400.000,3.435952000e-04,3.806510159e-03,-1.176666077e-02,1.237181809e-02
-16.000000,-10.000000,1737400.000,-3.730545050e-04,7.608924850e-04,-1.214602405e-02,1.217555039e-02
-16.000000,-9.500000,1737400.000,-9.985805460e-04,-2.294585696e-03,-1.173490193e-02,1.199875868e-02
-16.000000,-9.000000,1737400.000,-1.481925236e-03,-5.045451809e-03,-1.060345963e-02,1.183579496e-02
-16.000000,-8.500000,1737400.000,-1.799994680e-03,-7.247293827e-03,-8.931781943e-03,1.164216377e-02
-16.000000,-8.000000,1737400.000,-1.957971227e-03,-8.769337128e-03,-6.957534978e-03,1.136407576e-02
-16.000000,-7.500000,1737400.000,-1.981987491e-03,-9.599609552e-03,-4.916438440e-03,1.096595390e-02
-16.000000,-7.000000,1737400.000,-1.908369756e-03,-9.818443361e-03,-2.997237388e-03,1.044160606e-02
-16.000000,-6.500000,1737400.000,-1.773745090e-03,-9.557450254e-03,-1.321324041e-03,9.810042009e-03
-16.000000,-6.000000,1737400.000,-1.608902528e-03,-8.961071716e-03,5.523825100e-05,9.104527715e-03
-16.000000,-5.500000,1737400.000,-1.436210653e-03,-8.160207565e-03,1.126775845e-03,8.361896456e-03
-16.000000,-5.000000,1737400.000,-1.269922421e-03,-7.259140033e-03,1.919315037e-03,7.615220757e-03
