longitude_deg,latitude_deg,radius_m,Br,Btheta,Bphi,Btot
-16.000000,-16.000000,1737400.000,-3.687858600e-05,-2.740079097e-03,6.912839576e-03,7.436178084e-03
-16.000000,-15.500000,1737400.000,2.407157900e-05,-2.413560010e-03,7.821987834e-03,8.185923591e-03
-16.000000,-15.000000,1737400.000,9.991582300e-05,-1.889873231e-03,8.767353061e-03,8.969285573e-03
-16.000000,-14.500000,1737400.000,1.927567930e-04,-1.120496612e-03,9.697263832e-03,9.763687504e-03
-16.000000,-14.000000,1737400.000,3.044214890e-04,-6.156727540e-05,1.053225703e-02,1.053683544e-02
-16.000000,-13.500000,1737400.000,4.359399890e-04,1.313801362e-03,1.116184520e-02,1.124735107e-02
-16.000000,-13.000000,1737400.000,5.869309640e-04,2.998256418e-03,1.144742603e-02,1.184810501e-02
-16.000000,-12.500000,1737400.000,7.548307860e-04,4.930934052e-03,1.123675324e-02,1.229424676e-02
-16.000000,-12.000000,1737400.000,9.341557460e-04,6.982635310e-03,1.039233875e-02,1.255510046e-02
-16.000000,-11.500000,1737400.000,1.116042016e-03,8.955740133e-03,8.832422108e-03,1.262784667e-02
-16.000000,-11.000000,1737400.000,1.288415289e-03,1.060792085e-02,6.573101108e-03,1.254566287e-02
-16.000000,-10.500000,1737400.000,1.437410695e-03,1.170064165e-02,3.753760062e-03,1.237181794e-02
-16.000000,-10.000000,1737400.000,1.549435834e-03,1.206018837e-02,6.285890460e-04,1.217555005e-02
-16.000000,-9.500000,1737400.000,1.613884161e-03,1.162800529e-02,-2.480943422e-03,1.199875866e-02
-16.000000,-9.000000,1737400.000,1.625359716e-03,1.047820103e-02,-5.258473493e-03,1.183579463e-02
-16.000000,-8.500000,1737400.000,1.584623683e-03,8.794155889e-03,-7.462691681e-03,1.164216377e-02
-16.000000,-8.000000,1737400.000,1.498128938e-03,6.815362363e-03,-8.969317911e-03,1.136407578e-02
-16.000000,-7.500000,1737400.000,1.376188689e-03,4.777683536e-03,-9.774047017e-03,1.096595415e-02
-16.000000,-7.000000,1737400.000,1.230659460e-03,2.868640180e-03,-9.964111589e-03,1.044160615e-02
-16.000000,-6.500000,1737400.000,1.072961223e-03,1.207624140e-03,-9.676121502e-03,9.810042261e-03
-16.000000,-6.000000,1737400.000,9.125971170e-04,-1.514603400e-04,-9.057408600e-03,9.104527681e-03
-16.000000,-5.500000,1737400.000,7.566877930e-04,-1.204848040e-03,-8.239968243e-03,8.361896427e-03
-16.000000,-5.000000,1737400.000,6.099143260e-04,-1.980007060e-03,-7.327971293e-03,7.615220727e-03
-16.000000,-4.500000,1737400.000,4.748996410e-04,-2.519490250e-03,-6.395766936e-03,6.890514892e-03
-16.000000,-4.000000,1737400.000,3.527037520e-04,-2.869453691e-03,-5.491351922e-03,6.205893195e-03
-16.000000,-3.500000,1737400.000,2.432681910e-04,-3.072990945e-03,-4.642378320e-03,5.572623191e-03
-16.000000,-3.000000,1737400.000,1.458685090e-04,-3.166896457e-03,-3.861943040e-03,4.996510266e-03
-16.000000,-2.500000,1737400.000,5.939074900e-05,-3.180781286e-03,-3.153617135e-03,4.479530989e-03
-16.000000,-2.000000,1737400.000,-1.747307100e-05,-3.137335339e-03,-2.515182762e-03,4.021109631e-03
-16.000000,-1.500000,1737400.000,-8.603210900e-05,-3.053263615e-03,-1.941350366e-03,3.619207299e-03
-16.000000,-1.000000,1737400.000,-1.475257170e-04,-2.940326797e-03,-1.425573706e-03,3.271016035e-03
-16.000000,-0.500000,1737400.000,-2.030564180e-04,-2.806393918e-03,-9.612122346e-04,2.973383206e-03
-16.000000,0.000000,1737400.000,-2.535504930e-04,-2.656352930e-03,-5.422871560e-04,2.722971557e-03
-16.000000,0.500000,1737400.000,-2.997259720e-04,-2.492936963e-03,-1.639625090e-04,2.516238078e-03
-16.000000,1.000000,1737400.000,-3.420977140e-04,-2.317423362e-03,1.772724430e-04,2.349235493e-03
-16.000000,1.500000,1737400.000,-3.809428650e-04,-2.130263056e-03,4.834087020e-04,2.217390838e-03
-16.000000,2.000000,1737400.000,-4.163358800e-04,-1.931659515e-03,7.550503610e-04,2.115359330e-03
-16.000000,2.500000,1737400.000,-4.481388470e-04,-1.722085652e-03,9.915164710e-04,2.037035182e-03
-16.000000,3.000000,1737400.000,-4.760413760e-04,-1.502742219e-03,1.191184055e-03,1.975795794e-03
-16.000000,3.500000,1737400.000,-4.995940880e-04,-1.275899207e-03,1.351929449e-03,1.924896432e-03
-16.000000,4.000000,1737400.000,-5.182666060e-04,-1.045084773e-03,1.471707259e-03,1.877957591e-03
-16.000000,4.500000,1737400.000,-5.315180050e-04,-8.150548540e-04,1.549182022e-03,1.829423609e-03
-16.000000,5.000000,1737400.000,-5.388782940e-04,-5.915495180e-04,1.584325514e-03,1.774938867e-03
